"Name_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearOneOCO_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","15.029","8.809","7.421","7.421","16.106","10.921","9.474","10.137","","","","","","","","","","","45baa049f9b1c888632e1c20d61d6e3499fe5289-0-acc89d43065fb5715fca61c6c8dd79e4a26c66df","45baa049f9b1c888632e1c20d61d6e3499fe5289","root.record.ItemExhibitList.P3AModificationItemGroup","45baa049f9b1c888632e1c20d61d6e3499fe5289-0-d680fa6c466564057334e1686fd046b2b34c476d"
"Army National Guard","","7.357","5.053","5.053","","","2.398","","","","","","","","","","","","45baa049f9b1c888632e1c20d61d6e3499fe5289-1-b06c692feff2c532a184c00953931d5bf5b0ef80","45baa049f9b1c888632e1c20d61d6e3499fe5289","root.record.ItemExhibitList.P3AModificationItemGroup","45baa049f9b1c888632e1c20d61d6e3499fe5289-0-d680fa6c466564057334e1686fd046b2b34c476d"
"Army Reserve","","","5.052","5.052","","5.521","3.598","4.555","","","","","","","","","","","45baa049f9b1c888632e1c20d61d6e3499fe5289-2-5275a8061f4accb4099669cec24b33c45de06464","45baa049f9b1c888632e1c20d61d6e3499fe5289","root.record.ItemExhibitList.P3AModificationItemGroup","45baa049f9b1c888632e1c20d61d6e3499fe5289-0-d680fa6c466564057334e1686fd046b2b34c476d"
"Army Active","136.006","210.042","276.433","276.433","496.556","450.02","395.534","495.78","","","","","","","","","","","4829ab8e66f375c331eb15abace691a341e0a76a-0-bd11eb7320115ca80f8c72438dea531f07d11d21","4829ab8e66f375c331eb15abace691a341e0a76a","root.record.ItemExhibitList.P3AModificationItemGroup","4829ab8e66f375c331eb15abace691a341e0a76a-0-0ae13fe51ec304eabc25b2a1a5fe3855f75a3791"
"Army National Guard","","","","","","32","32","","","","","","","","","","","","4829ab8e66f375c331eb15abace691a341e0a76a-1-6ef7de8228156f306e29a3d234ae5014c345fb2d","4829ab8e66f375c331eb15abace691a341e0a76a","root.record.ItemExhibitList.P3AModificationItemGroup","4829ab8e66f375c331eb15abace691a341e0a76a-0-0ae13fe51ec304eabc25b2a1a5fe3855f75a3791"
"Air Force Active","240.947","254.793","97.175","97.175","220.222","224.754","326.819","332.842","","","","","","","","","","","4c39cbe51415af7429d290b3dacf74a30465f591-0-61dcf456736a88b249def41891d511dadf64e733","4c39cbe51415af7429d290b3dacf74a30465f591","root.record.ItemExhibitList.P3AModificationItemGroup","4c39cbe51415af7429d290b3dacf74a30465f591-0-8ecc9c840daea6967d7cd5c2fc6bf12ec0a1da36"
"Army Active","","13.669","13.197","55.897","3.279","21.139","4.416","5.981","42.7","","","","","","","","","","4fc909c4803a6a930623eb8066a340c1d7966daf-0-50282ff1765f2b11d744d1cdbad3f49131ee3a54","4fc909c4803a6a930623eb8066a340c1d7966daf","root.record.ItemExhibitList.P3AModificationItemGroup","4fc909c4803a6a930623eb8066a340c1d7966daf-0-8fb23fba045014cb2bc1767b37455072d4f81946"
"Army Active","2.485","1.008","0.356","0.356","4.256","4.704","7.164","4.106","","","","","","","","","","","534df3f9e611c12e0da20825ccb737a3aabe83ce-0-bb82a404ddb2ddf25ebbfb5f8535bdc9d4ff1cf8","534df3f9e611c12e0da20825ccb737a3aabe83ce","root.record.ItemExhibitList.P3AModificationItemGroup","534df3f9e611c12e0da20825ccb737a3aabe83ce-0-2db05fc4a05751cbeee1a485e51cc4ac94cb7515"
"Army National Guard","3.523","2.14","1.491","1.491","5.31","5.752","5.604","2.214","","","","","","","","","","","534df3f9e611c12e0da20825ccb737a3aabe83ce-1-1e7a0d7a29798fea9cb853f1706488a88e6867d8","534df3f9e611c12e0da20825ccb737a3aabe83ce","root.record.ItemExhibitList.P3AModificationItemGroup","534df3f9e611c12e0da20825ccb737a3aabe83ce-0-2db05fc4a05751cbeee1a485e51cc4ac94cb7515"
"Air Force Active","26.157","75.849","84.482","84.482","53.768","79.674","48.783","7.889","","","","","","","","","","","5408ca1b7632858b265698ab84cb4d7ae2c0cb9f-0-b3999f88f578ef60ec78750b75c3e0c1dc6ef2ad","5408ca1b7632858b265698ab84cb4d7ae2c0cb9f","root.record.ItemExhibitList.P3AModificationItemGroup","5408ca1b7632858b265698ab84cb4d7ae2c0cb9f-0-adb10cf8c1fe571a0fdb3a137af7bb7230c13ad4"
"Air National Guard","","","","","","","26.867","41.851","","","","","","","","","","","5408ca1b7632858b265698ab84cb4d7ae2c0cb9f-1-889ae7af997dd0ba2400e0ecc988dee518a647ab","5408ca1b7632858b265698ab84cb4d7ae2c0cb9f","root.record.ItemExhibitList.P3AModificationItemGroup","5408ca1b7632858b265698ab84cb4d7ae2c0cb9f-0-adb10cf8c1fe571a0fdb3a137af7bb7230c13ad4"
