"val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Litening ATP-SE","d0c584f31e6951bf8391ccedb31e05542a53255a-1-bd4570c4c4b653a1798506ce6ebfac45a4be4599","d0c584f31e6951bf8391ccedb31e05542a53255a","root.record.ItemExhibitList.P3AModificationItemGroup","d0c584f31e6951bf8391ccedb31e05542a53255a-1-efac3903a9bd6e94f885b1002c4f5b1b4c22cb2a"
"Spacelift Range System Space","046be5f36f8a4db147ba138e8f14558a65b49467-0-5ec94545cefe2cfbe4a1d3dc6909b4e46240d357","046be5f36f8a4db147ba138e8f14558a65b49467","root.record.ItemExhibitList.P3AModificationItemGroup","046be5f36f8a4db147ba138e8f14558a65b49467-0-8f901e1aa3fcae50d695bb8689aa8d5709fc5da5"
"Spacelift Range System Space","046be5f36f8a4db147ba138e8f14558a65b49467-0-5d7198233e50f12f6a09779fac06f6d620a38af5","046be5f36f8a4db147ba138e8f14558a65b49467","root.record.ItemExhibitList.P3AModificationItemGroup","046be5f36f8a4db147ba138e8f14558a65b49467-1-dcdbec01666fb90ec4eace76c9fd8c305ea03693"
"F-16","0962354bcb3967a7aa97cee21e1cf27446f8554e-0-4cb1326f2d498670705345b574631d1e75e1500a","0962354bcb3967a7aa97cee21e1cf27446f8554e","root.record.ItemExhibitList.P3AModificationItemGroup","0962354bcb3967a7aa97cee21e1cf27446f8554e-0-b6e4948104ac58cb7d74b72e63348745dde5aa96"
"F-16","0962354bcb3967a7aa97cee21e1cf27446f8554e-0-c42a6c5f47c3166b2af2630984cff3b3be89d025","0962354bcb3967a7aa97cee21e1cf27446f8554e","root.record.ItemExhibitList.P3AModificationItemGroup","0962354bcb3967a7aa97cee21e1cf27446f8554e-1-1a4e2c65ab2dd30c02279e91887f254f673ca00c"
"MC-12","09edc4750d2eb9eb26183c8735c49b929987dcb4-0-5884721b2af4d20b95370374a0c64bca9ec89f8d","09edc4750d2eb9eb26183c8735c49b929987dcb4","root.record.ItemExhibitList.P3AModificationItemGroup","09edc4750d2eb9eb26183c8735c49b929987dcb4-0-3a9dd1b38b098ebb133a0f1f9975f72435eb51d1"
"E-4","0cf39e05f941fe4164b78a0135b22b256c12e649-0-9c84cfcf5ce3ef86d8532015d85fa3245e3ac0dd","0cf39e05f941fe4164b78a0135b22b256c12e649","root.record.ItemExhibitList.P3AModificationItemGroup","0cf39e05f941fe4164b78a0135b22b256c12e649-0-50d905d2b533ac85520cbc72efba5f29d76953c2"
"E-6","0cf39e05f941fe4164b78a0135b22b256c12e649-1-3f95ab112d209c6cd1264938f589ee42cd217303","0cf39e05f941fe4164b78a0135b22b256c12e649","root.record.ItemExhibitList.P3AModificationItemGroup","0cf39e05f941fe4164b78a0135b22b256c12e649-0-50d905d2b533ac85520cbc72efba5f29d76953c2"
"RC-135S","138581e5babb63cf58587a24f4b60c40203abbcf-0-a82fcd9277af9ddbfa48a1b48de206f19cb1c8c3","138581e5babb63cf58587a24f4b60c40203abbcf","root.record.ItemExhibitList.P3AModificationItemGroup","138581e5babb63cf58587a24f4b60c40203abbcf-0-9074e106d98acdb7127783d4374fda0f7d1a30a2"
"TC-135W","138581e5babb63cf58587a24f4b60c40203abbcf-1-ae2aae8dab4b2c8a7bc9d4c43f69e5d24e22e682","138581e5babb63cf58587a24f4b60c40203abbcf","root.record.ItemExhibitList.P3AModificationItemGroup","138581e5babb63cf58587a24f4b60c40203abbcf-0-9074e106d98acdb7127783d4374fda0f7d1a30a2"
"RC-135V","138581e5babb63cf58587a24f4b60c40203abbcf-0-f38250f594dcfad26546a3b27cd17e2b2eb9703b","138581e5babb63cf58587a24f4b60c40203abbcf","root.record.ItemExhibitList.P3AModificationItemGroup","138581e5babb63cf58587a24f4b60c40203abbcf-1-b2b095fb676783e5056dd525f9a23207962feecf"
