"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","","","6","","6","","","","","","","0.81","","0.81","","","","","27d04778c2c16e7b412c353909cd486244309464-0-7aac6655451046a7180b39b4a044f750bc9deda9","27d04778c2c16e7b412c353909cd486244309464","root.record.ItemExhibitList.P5Item","27d04778c2c16e7b412c353909cd486244309464-2-8df7b0423d97dcd44a1f09da6727b37339399f7c"
"Army National Guard","139","","8","","8","","","","","8.365","","1.125","","1.125","","","","","27d04778c2c16e7b412c353909cd486244309464-1-9ffd487a888458d1c8d9e24e022dd17fd7df89d2","27d04778c2c16e7b412c353909cd486244309464","root.record.ItemExhibitList.P5Item","27d04778c2c16e7b412c353909cd486244309464-2-8df7b0423d97dcd44a1f09da6727b37339399f7c"
"Army Reserve","","","6","","6","","","","","","","0.844","","0.844","","","","","27d04778c2c16e7b412c353909cd486244309464-2-2b4752856e345af96331673bd5bb92ee4344b999","27d04778c2c16e7b412c353909cd486244309464","root.record.ItemExhibitList.P5Item","27d04778c2c16e7b412c353909cd486244309464-2-8df7b0423d97dcd44a1f09da6727b37339399f7c"
"Army National Guard","5","","","","","","","","","1.44","","","","","","","","","27d04778c2c16e7b412c353909cd486244309464-0-191afe54882e2d68257187e12bbe767a799f1a34","27d04778c2c16e7b412c353909cd486244309464","root.record.ItemExhibitList.P5Item","27d04778c2c16e7b412c353909cd486244309464-3-550c78ef727b8f34a5011ca874a1678008725b95"
"Army Active","","3","1","12","13","","","","","","2.656","0.567","2.9","3.467","","","","","28570409184c111247d7dd63e37353fc2c7f2a11-0-fef1affcf2eee6441013ea592c0df4e9e7ee1e8e","28570409184c111247d7dd63e37353fc2c7f2a11","root.record.ItemExhibitList.P5Item","28570409184c111247d7dd63e37353fc2c7f2a11-0-7fd785132f4fb20d4a593020f8d10af3c033eca2"
"Army National Guard","","","1","","1","","","","","","","0.588","","0.588","","","","","28570409184c111247d7dd63e37353fc2c7f2a11-1-ef332def025ebd48e14978995025ae56c1f022f7","28570409184c111247d7dd63e37353fc2c7f2a11","root.record.ItemExhibitList.P5Item","28570409184c111247d7dd63e37353fc2c7f2a11-0-7fd785132f4fb20d4a593020f8d10af3c033eca2"
"Army Reserve","","","1","","1","","","","","","","0.588","","0.588","","","","","28570409184c111247d7dd63e37353fc2c7f2a11-2-ccd636d56c4a7976f93fafa3bc3ca10f411dcdba","28570409184c111247d7dd63e37353fc2c7f2a11","root.record.ItemExhibitList.P5Item","28570409184c111247d7dd63e37353fc2c7f2a11-0-7fd785132f4fb20d4a593020f8d10af3c033eca2"
"Army Active","","","3521","","3521","","","","","","","36.734","","36.734","","","","","28db4ed18158a0173a157eb2aff413f08b7772f6-0-05ae23bf83eef85833cf906bd0ea0d00c05cc086","28db4ed18158a0173a157eb2aff413f08b7772f6","root.record.ItemExhibitList.P5Item","28db4ed18158a0173a157eb2aff413f08b7772f6-0-93ad397772bef57309ed77ad31dbac6f527ceb32"
"Army National Guard","","","665","","665","","","","","","","7","","7","","","","","28db4ed18158a0173a157eb2aff413f08b7772f6-1-9bcd969fc4ddbfc929f747e6ac862d949ad56ca6","28db4ed18158a0173a157eb2aff413f08b7772f6","root.record.ItemExhibitList.P5Item","28db4ed18158a0173a157eb2aff413f08b7772f6-0-93ad397772bef57309ed77ad31dbac6f527ceb32"
"Army Active","","","1140","","1140","","","","","","","177.911","","177.911","","","","","28db4ed18158a0173a157eb2aff413f08b7772f6-0-fc78190203acff33199c9f68f33670403fa18710","28db4ed18158a0173a157eb2aff413f08b7772f6","root.record.ItemExhibitList.P5Item","28db4ed18158a0173a157eb2aff413f08b7772f6-1-70123a05300b489dc6031c0823773c6e5bf0ae24"
