"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army National Guard","","","330","","330","","","","","","","52","","52","","","","","28db4ed18158a0173a157eb2aff413f08b7772f6-1-17813c33f31671ae63f3eae3aae469acbd900414","28db4ed18158a0173a157eb2aff413f08b7772f6","root.record.ItemExhibitList.P5Item","28db4ed18158a0173a157eb2aff413f08b7772f6-1-70123a05300b489dc6031c0823773c6e5bf0ae24"
"Army Active","","","","2000","2000","","","","","","","","5.67","5.67","","","","","29aac650f3205f38e0a16b1e6bde996ca7975423-0-d1da2a3a26c90f4b8308c52538752eb1784b43e1","29aac650f3205f38e0a16b1e6bde996ca7975423","root.record.ItemExhibitList.P5Item","29aac650f3205f38e0a16b1e6bde996ca7975423-0-9940204ec9e59a03e856e65a105f3ccc4f9e7e2e"
"Army Active","72","184","5","8","13","","","","","7.129","18.336","2.307","0.846","3.153","","","","","2f6519900ba026786ea9a09f23f2e6a2fd44ef4e-0-106a071a7b1ab994d8ae07aa61e88ecad6705e8a","2f6519900ba026786ea9a09f23f2e6a2fd44ef4e","root.record.ItemExhibitList.P5Item","2f6519900ba026786ea9a09f23f2e6a2fd44ef4e-0-1eb6e4bc86d2ee76d8176ca3f515230573d41b19"
"Army National Guard","15","47","","","","","","","","3.199","4.818","","","","","","","","2f6519900ba026786ea9a09f23f2e6a2fd44ef4e-1-f580e4735463928cee601678da889d6be4f735a2","2f6519900ba026786ea9a09f23f2e6a2fd44ef4e","root.record.ItemExhibitList.P5Item","2f6519900ba026786ea9a09f23f2e6a2fd44ef4e-0-1eb6e4bc86d2ee76d8176ca3f515230573d41b19"
"Army Reserve","36","47","","","","","","","","4.064","4.828","","","","","","","","2f6519900ba026786ea9a09f23f2e6a2fd44ef4e-2-814607e345decfa9d13ba380089e72dc5406c9c6","2f6519900ba026786ea9a09f23f2e6a2fd44ef4e","root.record.ItemExhibitList.P5Item","2f6519900ba026786ea9a09f23f2e6a2fd44ef4e-0-1eb6e4bc86d2ee76d8176ca3f515230573d41b19"
"Army Active","335","686","1828","","1828","","","","","164.615","249.911","587.514","","587.514","","","","","33e3f2e817329c1be562eb49bf8b43a50b44e6a2-0-270abf8f58448599074122af3d3acd1d57a1f2f6","33e3f2e817329c1be562eb49bf8b43a50b44e6a2","root.record.ItemExhibitList.P5Item","33e3f2e817329c1be562eb49bf8b43a50b44e6a2-0-b0dbcd8ad027cee1e0a95bea0e3c8a6adbbaeda3"
"Army Active","","","","","","","","","","6.012","10.521","8.332","22.41","30.742","","","","","347d0912d17903700eb396149627cb06dc8fb6af-0-4baabc85bfd09d097dab1f5c820918d8740e20a1","347d0912d17903700eb396149627cb06dc8fb6af","root.record.ItemExhibitList.P5Item","347d0912d17903700eb396149627cb06dc8fb6af-0-3dff1d75e6bc2bc6b25353818b2e2160596d4538"
"Army National Guard","","","","","","","","","","","1.5","","","","","","","","347d0912d17903700eb396149627cb06dc8fb6af-1-075e8dabf338d884976723d9dc7bb53b9161d3ed","347d0912d17903700eb396149627cb06dc8fb6af","root.record.ItemExhibitList.P5Item","347d0912d17903700eb396149627cb06dc8fb6af-0-3dff1d75e6bc2bc6b25353818b2e2160596d4538"
"Army Active","4","18","4","","4","","","","","2.714","12.074","2.629","","2.629","","","","","3579a953c70087a21de2b76398e333ae6a55977c-0-f6a05afd58fc548ea9648c58397a36342fcaf277","3579a953c70087a21de2b76398e333ae6a55977c","root.record.ItemExhibitList.P5Item","3579a953c70087a21de2b76398e333ae6a55977c-0-689ff1f42e989da4d0b49c411f08637075817e20"
"Army National Guard","9","20","16","","16","","","","","6.106","14.051","11.802","","11.802","","","","","3579a953c70087a21de2b76398e333ae6a55977c-1-690a1c64267d0f3c55b355164ffa9114743e923b","3579a953c70087a21de2b76398e333ae6a55977c","root.record.ItemExhibitList.P5Item","3579a953c70087a21de2b76398e333ae6a55977c-0-689ff1f42e989da4d0b49c411f08637075817e20"
"Army Reserve","9","","16","","16","","","","","6.106","","11.802","","11.802","","","","","3579a953c70087a21de2b76398e333ae6a55977c-2-59d7885ebaef30d3f3a4f419037ef08d60724321","3579a953c70087a21de2b76398e333ae6a55977c","root.record.ItemExhibitList.P5Item","3579a953c70087a21de2b76398e333ae6a55977c-0-689ff1f42e989da4d0b49c411f08637075817e20"
"Army Active","5","3","9","","9","","","","","39.362","33.455","64.752","","64.752","","","","","35f64eb5a2af075c277f46ad9a05b6dc91b6bee5-0-740f21cc0381a76f2e898a2a25957edd5e1d895f","35f64eb5a2af075c277f46ad9a05b6dc91b6bee5","root.record.ItemExhibitList.P5Item","35f64eb5a2af075c277f46ad9a05b6dc91b6bee5-0-cb750a600382783bc84bc25baa8e23c9becc37c4"
"Army Active","50","","","","","","","","","11.127","","0.274","","0.274","","","","","35f73a0a9aa652b388b84ef9f5b3d27fe65a1ba5-0-4128bbacd8a7686cbcfc75137e546fb0817c566b","35f73a0a9aa652b388b84ef9f5b3d27fe65a1ba5","root.record.ItemExhibitList.P5Item","35f73a0a9aa652b388b84ef9f5b3d27fe65a1ba5-0-ffe7071176fd477859be28a3323e075aa3c0c445"
"Army National Guard","17","","","","","","","","","4.08","","","","","","","","","35f73a0a9aa652b388b84ef9f5b3d27fe65a1ba5-1-15dbc54cb989e930fd2976eae005dd63244f5864","35f73a0a9aa652b388b84ef9f5b3d27fe65a1ba5","root.record.ItemExhibitList.P5Item","35f73a0a9aa652b388b84ef9f5b3d27fe65a1ba5-0-ffe7071176fd477859be28a3323e075aa3c0c445"
"Army Reserve","17","","","","","","","","","3.338","","","","","","","","","35f73a0a9aa652b388b84ef9f5b3d27fe65a1ba5-2-e27eff7803516a9accf98e4bbd0da2c0c4047caa","35f73a0a9aa652b388b84ef9f5b3d27fe65a1ba5","root.record.ItemExhibitList.P5Item","35f73a0a9aa652b388b84ef9f5b3d27fe65a1ba5-0-ffe7071176fd477859be28a3323e075aa3c0c445"
"Army Active","","20","","","","","","","","","6.783","","","","","","","","35f73a0a9aa652b388b84ef9f5b3d27fe65a1ba5-0-567959be7d5442a2fee951fc35ca9c0c36e9e10f","35f73a0a9aa652b388b84ef9f5b3d27fe65a1ba5","root.record.ItemExhibitList.P5Item","35f73a0a9aa652b388b84ef9f5b3d27fe65a1ba5-1-9af452066998e80d1b74b369e1cec6b7f8a94ed7"
"Army National Guard","","10","","","","","","","","","3.391","","","","","","","","35f73a0a9aa652b388b84ef9f5b3d27fe65a1ba5-1-53b605c94107396163fe429ad83717d0dc6b9ccb","35f73a0a9aa652b388b84ef9f5b3d27fe65a1ba5","root.record.ItemExhibitList.P5Item","35f73a0a9aa652b388b84ef9f5b3d27fe65a1ba5-1-9af452066998e80d1b74b369e1cec6b7f8a94ed7"
"Army Reserve","","10","","","","","","","","","3.391","","","","","","","","35f73a0a9aa652b388b84ef9f5b3d27fe65a1ba5-2-2bd356fbb061cf72f629740aee98b567b29a6690","35f73a0a9aa652b388b84ef9f5b3d27fe65a1ba5","root.record.ItemExhibitList.P5Item","35f73a0a9aa652b388b84ef9f5b3d27fe65a1ba5-1-9af452066998e80d1b74b369e1cec6b7f8a94ed7"
"Army Active","108","112","85","","85","","","","","532.605","514.946","423.201","","423.201","","","","","36fdee92d7beb94311909edb9f32cd5d8fe87db0-0-ea1c0fee6836a5ac5753fc15bd7f95450e82bf7d","36fdee92d7beb94311909edb9f32cd5d8fe87db0","root.record.ItemExhibitList.P5Item","36fdee92d7beb94311909edb9f32cd5d8fe87db0-0-aee44ffb0afde24d01e745adf11b676cf152749a"
"Army Active","22","32","45","","45","","","","","0.392","1.001","0.813","","0.813","","","","","37b9b123b30f2d28242fe5dd7b7e2ad7ecd23ad5-0-def0b62cb529ba7e342e842b80449fb242556f02","37b9b123b30f2d28242fe5dd7b7e2ad7ecd23ad5","root.record.ItemExhibitList.P5Item","37b9b123b30f2d28242fe5dd7b7e2ad7ecd23ad5-0-30a9217b029330a52a43ac0daceccee21f23201e"
"Army National Guard","582","1211","1025","","1025","","","","","12.171","11.519","7.859","","7.859","","","","","37b9b123b30f2d28242fe5dd7b7e2ad7ecd23ad5-1-af38509b778889cb43f25aaa49619ac339ee2320","37b9b123b30f2d28242fe5dd7b7e2ad7ecd23ad5","root.record.ItemExhibitList.P5Item","37b9b123b30f2d28242fe5dd7b7e2ad7ecd23ad5-0-30a9217b029330a52a43ac0daceccee21f23201e"
"Army Reserve","370","846","1135","","1135","","","","","10.051","11.868","11.221","","11.221","","","","","37b9b123b30f2d28242fe5dd7b7e2ad7ecd23ad5-2-04ad73014abf8ef07d8f656989389f26941c08e7","37b9b123b30f2d28242fe5dd7b7e2ad7ecd23ad5","root.record.ItemExhibitList.P5Item","37b9b123b30f2d28242fe5dd7b7e2ad7ecd23ad5-0-30a9217b029330a52a43ac0daceccee21f23201e"
"Army Active","1285","1636","230","","230","","","","","24.86","20.097","6.831","","6.831","","","","","38fcc17299756c0d67a998c30d3b8bef62934a43-0-b1252edcdfa55115dc4c099a9cc5e6d6d90eb2e1","38fcc17299756c0d67a998c30d3b8bef62934a43","root.record.ItemExhibitList.P5Item","38fcc17299756c0d67a998c30d3b8bef62934a43-0-40affc54712f461c6b41d2f81b71a9d03216d335"
"Army National Guard","73","521","693","","693","","","","","1.136","5.991","7.561","","7.561","","","","","38fcc17299756c0d67a998c30d3b8bef62934a43-1-f893a8c718f81e3f72cf3b891cb2bbf3abbfe4e8","38fcc17299756c0d67a998c30d3b8bef62934a43","root.record.ItemExhibitList.P5Item","38fcc17299756c0d67a998c30d3b8bef62934a43-0-40affc54712f461c6b41d2f81b71a9d03216d335"
"Army Reserve","","","193","","193","","","","","","","2.219","","2.219","","","","","38fcc17299756c0d67a998c30d3b8bef62934a43-2-bea21083fa5df95701efcc9d559f14da3fb21c97","38fcc17299756c0d67a998c30d3b8bef62934a43","root.record.ItemExhibitList.P5Item","38fcc17299756c0d67a998c30d3b8bef62934a43-0-40affc54712f461c6b41d2f81b71a9d03216d335"
"Army Active","91","33","13","57","70","","","","","4.382","2.626","1.898","2.4","4.298","","","","","38fcc17299756c0d67a998c30d3b8bef62934a43-0-06b16830b4b48ed299bacd21db57736b3b920ad3","38fcc17299756c0d67a998c30d3b8bef62934a43","root.record.ItemExhibitList.P5Item","38fcc17299756c0d67a998c30d3b8bef62934a43-1-8006746588065763762f7a955d7749489130f672"
"Army National Guard","2","2","","","","","","","","0.264","0.264","","","","","","","","38fcc17299756c0d67a998c30d3b8bef62934a43-1-25e8a440a7462d2c11f644b7d76d0a6632db341b","38fcc17299756c0d67a998c30d3b8bef62934a43","root.record.ItemExhibitList.P5Item","38fcc17299756c0d67a998c30d3b8bef62934a43-1-8006746588065763762f7a955d7749489130f672"
"Army Reserve","2","","","","","","","","","0.273","","","","","","","","","38fcc17299756c0d67a998c30d3b8bef62934a43-2-71a14a244dbc1dd0b67e7a5d8d55e0ffcf515ec0","38fcc17299756c0d67a998c30d3b8bef62934a43","root.record.ItemExhibitList.P5Item","38fcc17299756c0d67a998c30d3b8bef62934a43-1-8006746588065763762f7a955d7749489130f672"
"Army Active","34","111","112","","112","","","","","27.757","49.898","39.164","","39.164","","","","","39b6f410e84da4a1182f2dbc436f9aa24684eee9-0-9a659e13bddc838d00c15d535e27710d92d5579b","39b6f410e84da4a1182f2dbc436f9aa24684eee9","root.record.ItemExhibitList.P5Item","39b6f410e84da4a1182f2dbc436f9aa24684eee9-0-0d97d8b92c143de7debaadc0bca77358c59dd54d"
"Army National Guard","","","56","","56","","","","","","","19.086","","19.086","","","","","39b6f410e84da4a1182f2dbc436f9aa24684eee9-1-fdd70abb4c047c3e84904161ccace78aa994097e","39b6f410e84da4a1182f2dbc436f9aa24684eee9","root.record.ItemExhibitList.P5Item","39b6f410e84da4a1182f2dbc436f9aa24684eee9-0-0d97d8b92c143de7debaadc0bca77358c59dd54d"
"Army Active","","71","90","","90","","","","","","47.212","30.356","","30.356","","","","","3a41f14de73920d3046dfd0011236563890b444d-0-37a0b3625252b618c200d1c79388caf6b6059308","3a41f14de73920d3046dfd0011236563890b444d","root.record.ItemExhibitList.P5Item","3a41f14de73920d3046dfd0011236563890b444d-0-dec3a88a246a4a513c06c9263e58664a9cab92d5"
"Army National Guard","","","60","","60","","","","","","","20.37","","20.37","","","","","3a41f14de73920d3046dfd0011236563890b444d-1-e171fd7def7348c3f5a70d924bf758c6eb0d4880","3a41f14de73920d3046dfd0011236563890b444d","root.record.ItemExhibitList.P5Item","3a41f14de73920d3046dfd0011236563890b444d-0-dec3a88a246a4a513c06c9263e58664a9cab92d5"
"Army Active","","","","68","68","","","","","","","","60.12","60.12","","","","","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-0-8d62ca3f00359b46457b76423def557151ff93fd","3cfb274a528da7cf2c10b96fbca9b28f9dc72629","root.record.ItemExhibitList.P5Item","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-0-bb43db60aa7a7bcb902084e0b2336a79af0f00b5"
"Army Active","162","47","79","162","241","","","","","13.923","2.714","6.102","9.45","15.552","","","","","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-0-8d718c9c77fe57c4e1c23bcb3fe37f0ca1322fd9","3cfb274a528da7cf2c10b96fbca9b28f9dc72629","root.record.ItemExhibitList.P5Item","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-1-97ef361e47d4ebccafa409c2686994263460dee8"
"Army National Guard","216","208","108","","108","","","","","12.406","11.65","6.701","","6.701","","","","","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-1-e24373e21ab78eb4302dfbdcf317d7a7eb7c6f5d","3cfb274a528da7cf2c10b96fbca9b28f9dc72629","root.record.ItemExhibitList.P5Item","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-1-97ef361e47d4ebccafa409c2686994263460dee8"
"Army Reserve","7","31","","","","","","","","0.4","1.77","","","","","","","","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-2-eb35d97e4f04689d2f8263c10a1f4dbf00e96200","3cfb274a528da7cf2c10b96fbca9b28f9dc72629","root.record.ItemExhibitList.P5Item","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-1-97ef361e47d4ebccafa409c2686994263460dee8"
"Army Active","","2","2","","2","","","","","1.615","3.001","3.582","","3.582","","","","","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-0-e563f15dd0824c6a945ff6c5347f2276afd8833d","3cfb274a528da7cf2c10b96fbca9b28f9dc72629","root.record.ItemExhibitList.P5Item","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-2-15e38690cb4f39566c9c00dfe426e1b97765c795"
"Army Active","","","","","","","","","","","","0.748","","0.748","","","","","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-0-e308fc4e1040a13d5099cd01b80f94ca0e5f14fa","3cfb274a528da7cf2c10b96fbca9b28f9dc72629","root.record.ItemExhibitList.P5Item","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-3-159043710eca0e3e758ccccb5295166aeb5cb4ff"
"Army Active","","","3","","3","","","","","","","0.481","","0.481","","","","","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-0-702f1df7387c5f5c25f33cd6ef49f6c14cd565af","3cfb274a528da7cf2c10b96fbca9b28f9dc72629","root.record.ItemExhibitList.P5Item","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-4-4af1bd176c7e56295978637a376c50bd0ed20730"
"Army National Guard","","","4","","4","","","","","","","0.679","","0.679","","","","","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-1-20c74aa82fdc7f3186d820ee608ef544b1643013","3cfb274a528da7cf2c10b96fbca9b28f9dc72629","root.record.ItemExhibitList.P5Item","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-4-4af1bd176c7e56295978637a376c50bd0ed20730"
"Army Reserve","","","3","","3","","","","","","","0.5","","0.5","","","","","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-2-dfd4920e00a0b8d4e33298ffdc48d179d955fef6","3cfb274a528da7cf2c10b96fbca9b28f9dc72629","root.record.ItemExhibitList.P5Item","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-4-4af1bd176c7e56295978637a376c50bd0ed20730"
"Army Active","45","61","68","94","162","","","","","2.351","6.099","6.402","8.46","14.862","","","","","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-0-756663175dca8ca01e651b3194ad88a4ca34b4a3","3cfb274a528da7cf2c10b96fbca9b28f9dc72629","root.record.ItemExhibitList.P5Item","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-5-bc4a2281e9bb7bfb029bce36da325b8f0f29e858"
"Army National Guard","139","56","58","","58","","","","","7.327","5.6","5.928","","5.928","","","","","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-1-5ca6675f83a9509118c97e205f4369d8854510d7","3cfb274a528da7cf2c10b96fbca9b28f9dc72629","root.record.ItemExhibitList.P5Item","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-5-bc4a2281e9bb7bfb029bce36da325b8f0f29e858"
"Army Reserve","51","27","41","","41","","","","","2.67","2.73","4.186","","4.186","","","","","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-2-967781af8ea5647e20b4e05c1932d9e772b683b2","3cfb274a528da7cf2c10b96fbca9b28f9dc72629","root.record.ItemExhibitList.P5Item","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-5-bc4a2281e9bb7bfb029bce36da325b8f0f29e858"
"Army Active","","3","48","2","50","","","","","","1.817","4.161","0.21","4.371","","","","","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-0-ecdd53594ace0bd27dc06de2296678886d09d72e","3cfb274a528da7cf2c10b96fbca9b28f9dc72629","root.record.ItemExhibitList.P5Item","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-6-52a7202468b805caf9459963f5da629aba7d2169"
"Army National Guard","","","33","","33","","","","","","","3.186","","3.186","","","","","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-1-80fbae63b95ce500f29d134ea2a4193771d53c14","3cfb274a528da7cf2c10b96fbca9b28f9dc72629","root.record.ItemExhibitList.P5Item","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-6-52a7202468b805caf9459963f5da629aba7d2169"
"Army Active","180","71","3","230","233","","","","","82.616","34.267","4.872","106.358","111.23","","","","","3d8deaca2c53feacc0f35b52b326ef8b6c6e4434-0-d78f73d7ca349a1014958c866876203e83bfad70","3d8deaca2c53feacc0f35b52b326ef8b6c6e4434","root.record.ItemExhibitList.P5Item","3d8deaca2c53feacc0f35b52b326ef8b6c6e4434-0-435d7a258dfcd684bb9ca46acce67dbf52639188"
"Army National Guard","90","119","3","","3","","","","","36.598","53.412","3.62","","3.62","","","","","3d8deaca2c53feacc0f35b52b326ef8b6c6e4434-1-cdad261f46677224a53b969fdbb64d481285d8a2","3d8deaca2c53feacc0f35b52b326ef8b6c6e4434","root.record.ItemExhibitList.P5Item","3d8deaca2c53feacc0f35b52b326ef8b6c6e4434-0-435d7a258dfcd684bb9ca46acce67dbf52639188"
"Army Reserve","48","88","3","","3","","","","","30.349","39.423","3.364","","3.364","","","","","3d8deaca2c53feacc0f35b52b326ef8b6c6e4434-2-5bfe1977c22338389a69dfd2989eaf0704b5cf9b","3d8deaca2c53feacc0f35b52b326ef8b6c6e4434","root.record.ItemExhibitList.P5Item","3d8deaca2c53feacc0f35b52b326ef8b6c6e4434-0-435d7a258dfcd684bb9ca46acce67dbf52639188"
"Army Active","","24","19","","19","","","","","","8.01","6.303","","6.303","","","","","3f0b15546151585f0e9518fc5062aec1038297c7-0-9df899d7373c5c14a23ea82ef10ab1f590528829","3f0b15546151585f0e9518fc5062aec1038297c7","root.record.ItemExhibitList.P5Item","3f0b15546151585f0e9518fc5062aec1038297c7-0-1882917dd01e4efcba7e7dcdce67cac08c2bf041"
"Army National Guard","","","5","","5","","","","","","","1.667","","1.667","","","","","3f0b15546151585f0e9518fc5062aec1038297c7-1-6ceb6ea7f1a463b979ffaa3bdcdaf6dc2608b745","3f0b15546151585f0e9518fc5062aec1038297c7","root.record.ItemExhibitList.P5Item","3f0b15546151585f0e9518fc5062aec1038297c7-0-1882917dd01e4efcba7e7dcdce67cac08c2bf041"
"Army Active","","123","505","","505","","","","","5.851","17.642","22.489","","22.489","","","","","4032cefa9c530cccec219f5a216c554f78c281b5-0-9204cab0f17de2763207d887e31960e1abec2bed","4032cefa9c530cccec219f5a216c554f78c281b5","root.record.ItemExhibitList.P5Item","4032cefa9c530cccec219f5a216c554f78c281b5-0-308d2d890783001f9a8cdc2f7229f850c028899d"
"Army National Guard","","60","191","","191","","","","","","8.606","8.594","","8.594","","","","","4032cefa9c530cccec219f5a216c554f78c281b5-1-216c93b8d06d3a8fd572da04ce72ea14b748c9f0","4032cefa9c530cccec219f5a216c554f78c281b5","root.record.ItemExhibitList.P5Item","4032cefa9c530cccec219f5a216c554f78c281b5-0-308d2d890783001f9a8cdc2f7229f850c028899d"
"Army Active","1546","4692","7409","","7409","","","","","43.366","78.201","98.717","","98.717","","","","","4032cefa9c530cccec219f5a216c554f78c281b5-0-2bc3e2346dac03a104ebb43f203e491db07fe414","4032cefa9c530cccec219f5a216c554f78c281b5","root.record.ItemExhibitList.P5Item","4032cefa9c530cccec219f5a216c554f78c281b5-1-2e5b43b4099c2212b217a9a4f7ebd35194115010"
"Army National Guard","1872","1186","2469","","2469","","","","","40.391","19.767","33.229","","33.229","","","","","4032cefa9c530cccec219f5a216c554f78c281b5-1-56d9a175327971cc9d4c86a0ddd79d903b8ed465","4032cefa9c530cccec219f5a216c554f78c281b5","root.record.ItemExhibitList.P5Item","4032cefa9c530cccec219f5a216c554f78c281b5-1-2e5b43b4099c2212b217a9a4f7ebd35194115010"
"Army Reserve","651","","","","","","","","","14.048","","","","","","","","","4032cefa9c530cccec219f5a216c554f78c281b5-2-311d8aa4ec37fc3152d387843657913f7b990222","4032cefa9c530cccec219f5a216c554f78c281b5","root.record.ItemExhibitList.P5Item","4032cefa9c530cccec219f5a216c554f78c281b5-1-2e5b43b4099c2212b217a9a4f7ebd35194115010"
"Army Active","30","40","","14","14","","","","","9.924","15","","4.426","4.426","","","","","40356e20266816bcdba248bd8455026a00aadc58-0-f6aadf8590c0c74615ac2aa0db65730351c91349","40356e20266816bcdba248bd8455026a00aadc58","root.record.ItemExhibitList.P5Item","40356e20266816bcdba248bd8455026a00aadc58-0-2946930002c88baf2dad3a9bb8994e17798880dd"
"Army National Guard","38","","","","","","","","","12.57","","","","","","","","","40356e20266816bcdba248bd8455026a00aadc58-1-1777e97c0032376d389164986718c635a2e58d9a","40356e20266816bcdba248bd8455026a00aadc58","root.record.ItemExhibitList.P5Item","40356e20266816bcdba248bd8455026a00aadc58-0-2946930002c88baf2dad3a9bb8994e17798880dd"
"Army Reserve","35","31","","","","","","","","11.577","12.156","","","","","","","","40356e20266816bcdba248bd8455026a00aadc58-2-65a269c789d52e6203caba0677fc7968e6533966","40356e20266816bcdba248bd8455026a00aadc58","root.record.ItemExhibitList.P5Item","40356e20266816bcdba248bd8455026a00aadc58-0-2946930002c88baf2dad3a9bb8994e17798880dd"
"Army Active","","","","","","","","","","22.38","26.437","18.003","8.5","26.503","","","","","40478b8785101c230dc20660e5927caa3fc665ca-0-5f645832ad57f0e65bf39e2a133908f0142fdd20","40478b8785101c230dc20660e5927caa3fc665ca","root.record.ItemExhibitList.P5Item","40478b8785101c230dc20660e5927caa3fc665ca-0-3fdf74ac568a07fd2fe9d3a153ba2e125b6249c2"
"Army Active","4324","3016","1493","","1493","","","","","71.761","49.798","32.419","","32.419","","","","","40cd9994adbfbb4a91b39a42c8ea7fe7fcfecc69-0-be5a829f3f33b70ab81b5b2963da708df2cfc81c","40cd9994adbfbb4a91b39a42c8ea7fe7fcfecc69","root.record.ItemExhibitList.P5Item","40cd9994adbfbb4a91b39a42c8ea7fe7fcfecc69-0-7613a68da79ef70d855ae3240b82350a33dd22ac"
"Army Active","","","","","","","","","","","","0.992","","0.992","","","","","41e7224456c9807c22dc2fffaeae0a3294d94b73-0-2e885479d8f6b248897f45ea9d2a1468cad42413","41e7224456c9807c22dc2fffaeae0a3294d94b73","root.record.ItemExhibitList.P5Item","41e7224456c9807c22dc2fffaeae0a3294d94b73-0-3752bbef6529c7d3615e46c4bf61e0105e4755d3"
"Army Active","1224","614","3639","","3639","","","","","13.325","14.164","54.099","1.928","56.027","","","","","42d190620d15d0c0b4dcd22eb9710643108888bc-0-fe7f720a881b6c43c57f5afce7698182937bbdc4","42d190620d15d0c0b4dcd22eb9710643108888bc","root.record.ItemExhibitList.P5Item","42d190620d15d0c0b4dcd22eb9710643108888bc-0-439877bba9ede02867f7283bfdbd9cf89d732b67"
"Army National Guard","350","175","1040","","1040","","","","","3.223","1.36","7.131","","7.131","","","","","42d190620d15d0c0b4dcd22eb9710643108888bc-1-635242c24d26c55590d488561227d39d22b90996","42d190620d15d0c0b4dcd22eb9710643108888bc","root.record.ItemExhibitList.P5Item","42d190620d15d0c0b4dcd22eb9710643108888bc-0-439877bba9ede02867f7283bfdbd9cf89d732b67"
"Army Reserve","174","88","519","","519","","","","","1.603","0.682","3.534","","3.534","","","","","42d190620d15d0c0b4dcd22eb9710643108888bc-2-1dfd54ab56ec9ee0ca9392b6051f1ea0240c968b","42d190620d15d0c0b4dcd22eb9710643108888bc","root.record.ItemExhibitList.P5Item","42d190620d15d0c0b4dcd22eb9710643108888bc-0-439877bba9ede02867f7283bfdbd9cf89d732b67"
"Army Active","5096","4169","4504","","4504","","","","","35.308","40.191","58.273","","58.273","","","","","42d190620d15d0c0b4dcd22eb9710643108888bc-0-e99d8959691e072036e0a4fc1ac2e8de60b78d77","42d190620d15d0c0b4dcd22eb9710643108888bc","root.record.ItemExhibitList.P5Item","42d190620d15d0c0b4dcd22eb9710643108888bc-1-69bbe641a75b51d04f25b48cbb2575f0f2881f6e"
"Army National Guard","1414","1181","1287","","1287","","","","","3.87","3.863","3.536","","3.536","","","","","42d190620d15d0c0b4dcd22eb9710643108888bc-1-4bcbb519c14909dd0799df1ee09e97e7b294ac92","42d190620d15d0c0b4dcd22eb9710643108888bc","root.record.ItemExhibitList.P5Item","42d190620d15d0c0b4dcd22eb9710643108888bc-1-69bbe641a75b51d04f25b48cbb2575f0f2881f6e"
"Army Reserve","707","591","644","","644","","","","","1.935","1.624","1.769","","1.769","","","","","42d190620d15d0c0b4dcd22eb9710643108888bc-2-9051f2de1b27585d9c38ce09f05428113e30e597","42d190620d15d0c0b4dcd22eb9710643108888bc","root.record.ItemExhibitList.P5Item","42d190620d15d0c0b4dcd22eb9710643108888bc-1-69bbe641a75b51d04f25b48cbb2575f0f2881f6e"
