"Name_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneOCO_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air National Guard","0.807","3.067","1.321","1.321","1.274","2.014","2.421","2.465","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-1ec7e4461dd5bb4a396502767db4a07db415b931","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-5efd8c37fa91f344cfe7e4c492b90dda6dba6b8b"
"Air Force Active","5.801","7.931","5.09","5.09","5.571","10.141","","","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-d51f1615c54ea624d0cd7efed52f2f313abee2e1","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-43564a45d5e0fbca043038c7cb61749455d7c4d2"
"Air National Guard","0.58","","","","","2.751","17.883","","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-25ed302810948dbad1d53e47a544fede05d47b78","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-43564a45d5e0fbca043038c7cb61749455d7c4d2"
"Air Force Active","29.961","22.49","","","3.15","5.85","6.093","2.569","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-a82323206c10ddbf0c9eb066c335502bbe4a3c1b","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-5b9f565fd882a152dad8617bd6ca5223fdd8fc28"
"Air Force Active","328.153","","","","","","","","","ef0732f3c1dd5717a958db9160b2bcea08ed1ee3-0-623d1a1712b2229417be06aacfd42ed739bc2e0c","ef0732f3c1dd5717a958db9160b2bcea08ed1ee3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","ef0732f3c1dd5717a958db9160b2bcea08ed1ee3-0-c1ca0fb7f19c527113b20eaddffe66a8af2bfd89"
"Air Force Reserve","273.46","719.289","","","","","","","","ef0732f3c1dd5717a958db9160b2bcea08ed1ee3-1-81d77e09abcffe25207d4f18c08664fef02b806f","ef0732f3c1dd5717a958db9160b2bcea08ed1ee3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","ef0732f3c1dd5717a958db9160b2bcea08ed1ee3-0-c1ca0fb7f19c527113b20eaddffe66a8af2bfd89"
"Air Force Active","","","1.764","1.764","","","","","","fba283638089f36cdd3c6afc69cbcba1590c5afb-0-18520f8a22fa805984329a7a909fd11e57416ebf","fba283638089f36cdd3c6afc69cbcba1590c5afb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","fba283638089f36cdd3c6afc69cbcba1590c5afb-0-3f8129a09b56b4cdd964ebbc118921dbb1993fb3"
"Air National Guard","","3","2.875","2.875","","","","","","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-e658ab56d82738d00f49a3c9f8018aa5d0ca059f","02f9169ee1de449fa830b4df8911aa841a24e8b2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-20b733958a558116232763b0118ec292a9752bf3"
"Air Force Reserve","","1.375","2.125","2.125","","","","","","02f9169ee1de449fa830b4df8911aa841a24e8b2-1-142cdd7a5d4fff527927d6e4c476244d0288eb5e","02f9169ee1de449fa830b4df8911aa841a24e8b2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-20b733958a558116232763b0118ec292a9752bf3"
"Air Force Active","","","","25","","","","","25","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-5ac317cf974d4cfb0e2990a1daf35c78c37e3a40","02f9169ee1de449fa830b4df8911aa841a24e8b2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-9f51c57e76dc902ab190643460eae2322f75c04a"
"Air Force Active","","","","1.92","","","","","1.92","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-0e62135c33fa4c68b6bb0a24e72ef215d18d0c9c","02f9169ee1de449fa830b4df8911aa841a24e8b2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-94bc20c0926a32aa9ff6bdde1aaef83154ca7cd7"
"Air Force Active","","","","20.2","","","","","20.2","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-be2f91729c9bfd416fbbe06d778e5ee3acb9fbee","02f9169ee1de449fa830b4df8911aa841a24e8b2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-3e985915d52834423f468393bba646373b61a695"
"Air Force Active","18.933","","","7.868","","","","","7.868","8e1cb1475ad3e6389e65cae9a8dbe709c6f9a5fb-0-3b4a85bc501c98daf413f326d4483418f3fa521f","8e1cb1475ad3e6389e65cae9a8dbe709c6f9a5fb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8e1cb1475ad3e6389e65cae9a8dbe709c6f9a5fb-0-d088b096c6afd52ea8dbf910c253b802b2c423fb"
"Air Force Active","","","","110","","","","","110","d0c584f31e6951bf8391ccedb31e05542a53255a-0-975aa461d14f27265b0392e80bcee16b67b95637","d0c584f31e6951bf8391ccedb31e05542a53255a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d0c584f31e6951bf8391ccedb31e05542a53255a-0-f3a4bc530d7f3b0fd0f6ec36644a21506fddc152"
