"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","ModsOutYearDelta_Quantity_BudgetYearTwo_val","ModsOutYearDelta_Quantity_BudgetYearThree_val","ModsOutYearDelta_Quantity_BudgetYearFour_val","ModsOutYearDelta_Quantity_BudgetYearFive_val","ModsOutYearDelta_Cost_BudgetYearTwo_val","ModsOutYearDelta_Cost_BudgetYearThree_val","ModsOutYearDelta_Cost_BudgetYearFour_val","ModsOutYearDelta_Cost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","","","","","","","","","","18.3","10.02","15.996","","15.996","15.726","23.071","23.835","27.636","","","","","","","","","a6f5959dc635f343e31dd47bbb89df8b0a9b6611-0-1c1a452d013bcbb4d5d146c6b7843f4d2cffe5ec","a6f5959dc635f343e31dd47bbb89df8b0a9b6611","root","a6f5959dc635f343e31dd47bbb89df8b0a9b6611-1cc6266dc47e528b9464ed8a540c90e03cf88c55"
"Army National Guard","","","","","","","","","","3","8.5","7.22","","7.22","5.879","","","","","","","","","","","","a6f5959dc635f343e31dd47bbb89df8b0a9b6611-1-c0539b43c8c75896bf97a23ffa43e1ffb9757286","a6f5959dc635f343e31dd47bbb89df8b0a9b6611","root","a6f5959dc635f343e31dd47bbb89df8b0a9b6611-1cc6266dc47e528b9464ed8a540c90e03cf88c55"
"Army Reserve","","","","","","","","","","1","","","","","","","","","","","","","","","","","a6f5959dc635f343e31dd47bbb89df8b0a9b6611-2-6f065c931cedf2af461dbc3b7601abe3381830a1","a6f5959dc635f343e31dd47bbb89df8b0a9b6611","root","a6f5959dc635f343e31dd47bbb89df8b0a9b6611-1cc6266dc47e528b9464ed8a540c90e03cf88c55"
"Army Active","","","","","","","","","","1.512","1.519","1.349","","1.349","1.398","1.412","1.426","1.44","","","","","","","","","a7a0c346eda6cf6082f8a691c4b9fbfb53085319-0-223dc5ff02ffbe8fd4997132ec78abb46adfbea4","a7a0c346eda6cf6082f8a691c4b9fbfb53085319","root","a7a0c346eda6cf6082f8a691c4b9fbfb53085319-26bae87470a6e5d43020f2f9e844c360fb0ba054"
"Army Active","","","","","","","","","","31.868","22.654","25.597","","25.597","22.579","23.653","25.64","20.402","","","","","","","","","a801a414c837f237371d5923472e1c87ab0d996b-0-f256984a89ff10b163c66b0c896369aee7cfd1f2","a801a414c837f237371d5923472e1c87ab0d996b","root","a801a414c837f237371d5923472e1c87ab0d996b-1269a58db75b27d59a2f964b42f854de53c62d69"
"Navy Active","","1","","","","","","","","33.306","20.803","13.977","","13.977","14.902","15.187","15.506","15.608","","","","","","","","","aae97a8280497d17f9e0a88198f9bb33fad47bb7-0-a16c5febee5f7d001119ff146e6d5c8684b9a857","aae97a8280497d17f9e0a88198f9bb33fad47bb7","root","aae97a8280497d17f9e0a88198f9bb33fad47bb7-27f46972eafc6c76434947506408a1179549496f"
"Navy Reserve","","","","","","","","","","4.756","3.196","0.49","","0.49","0.498","2.511","2.562","2.614","","","","","","","","","aae97a8280497d17f9e0a88198f9bb33fad47bb7-1-1c6dfa345668e042de11690b59a1b5945dcf2d4d","aae97a8280497d17f9e0a88198f9bb33fad47bb7","root","aae97a8280497d17f9e0a88198f9bb33fad47bb7-27f46972eafc6c76434947506408a1179549496f"
"Army Active","","","","","","","","","","224.356","","73.495","","73.495","221.172","84.92","32.904","","","","","","","","","","ac3b05ea1dd53601838e715692a947659a3ca593-0-3a6bbb409c44973988a48945532c0be496214c27","ac3b05ea1dd53601838e715692a947659a3ca593","root","ac3b05ea1dd53601838e715692a947659a3ca593-e5b565a086dfeaa58a0a73ad4cdd7a2eb75dbdfb"
"Army National Guard","","","","","","","","","","124.201","159.05","143.884","","143.884","124.707","132.326","65.996","","","","","","","","","","ac3b05ea1dd53601838e715692a947659a3ca593-1-a3f2fdfcafec4d16f9900e055434cf20d0d1ee16","ac3b05ea1dd53601838e715692a947659a3ca593","root","ac3b05ea1dd53601838e715692a947659a3ca593-e5b565a086dfeaa58a0a73ad4cdd7a2eb75dbdfb"
"Army Active","142","255","118","","118","260","235","231","142","13.711","17.889","13.631","","13.631","24.643","29.549","27.47","29.996","","","","","","","","","acd64bed0d74e695e370457cdfb4c53ec3a0891b-0-eae1669ff04c6497c16b6506d63e407021a59472","acd64bed0d74e695e370457cdfb4c53ec3a0891b","root","acd64bed0d74e695e370457cdfb4c53ec3a0891b-7fbc6cd40599dbc352b799dbdd306205d2b4f74b"
"Army National Guard","239","298","260","","260","167","155","128","123","26.924","19.733","17.25","","17.25","12.333","11.288","9.092","8.069","","","","","","","","","acd64bed0d74e695e370457cdfb4c53ec3a0891b-1-19bb476eefd9b7f0afd7f60817cf3fe1c402ccfe","acd64bed0d74e695e370457cdfb4c53ec3a0891b","root","acd64bed0d74e695e370457cdfb4c53ec3a0891b-7fbc6cd40599dbc352b799dbdd306205d2b4f74b"
"Army Reserve","35","37","60","","60","16","23","42","44","1.653","3.07","4.5","","4.5","0.973","1.332","2.55","2.778","","","","","","","","","acd64bed0d74e695e370457cdfb4c53ec3a0891b-2-5503d2be4190e178d1412b15b72f55d5cbe53528","acd64bed0d74e695e370457cdfb4c53ec3a0891b","root","acd64bed0d74e695e370457cdfb4c53ec3a0891b-7fbc6cd40599dbc352b799dbdd306205d2b4f74b"
"Army Active","","","","","","","","","","2.167","","","","","","","","","","","","","","","","","acdc58f463674ab5125939a07f7a874bb9bec419-0-6f38720f2fcf4109fbbaf5355844a1f4f8dd6de7","acdc58f463674ab5125939a07f7a874bb9bec419","root","acdc58f463674ab5125939a07f7a874bb9bec419-4f6dcaa64d767805d2c7839f2c6379fe7afce478"
"Army National Guard","","","","","","","","","","2.44","","","","","","","","","","","","","","","","","acdc58f463674ab5125939a07f7a874bb9bec419-1-1eea44d440fcffbbdb2f7aa7333d7fac1798d595","acdc58f463674ab5125939a07f7a874bb9bec419","root","acdc58f463674ab5125939a07f7a874bb9bec419-4f6dcaa64d767805d2c7839f2c6379fe7afce478"
"Navy Active","401","90","","","","","","","","65.147","17.157","0.939","7.679","8.618","0.952","1.062","1.082","1.104","","","","","","","","","ad1af9abd6d7fa63a58b1a149840450b7a39ebdf-0-3399fbee7733a10b0be6c6d2e02f5f4ece5e5eab","ad1af9abd6d7fa63a58b1a149840450b7a39ebdf","root","ad1af9abd6d7fa63a58b1a149840450b7a39ebdf-814c66d52183bcbc8d473d8a7b68991d7e465e43"
"Navy Reserve","","","","","","","","","","","0.286","0.152","","0.152","0.166","0.176","0.181","0.185","","","","","","","","","ad1af9abd6d7fa63a58b1a149840450b7a39ebdf-1-16c7f907e5714fe5f35a702e7ac3d93d7e48c941","ad1af9abd6d7fa63a58b1a149840450b7a39ebdf","root","ad1af9abd6d7fa63a58b1a149840450b7a39ebdf-814c66d52183bcbc8d473d8a7b68991d7e465e43"
"Navy Active","","","","","","","","","","49.247","61.739","63.006","","63.006","77.292","68.497","55.36","56.506","","","","","","","","","ad810c27047b4ab648031c9b157acce4ab7c661c-0-35ce76a7412b3d4cac5f93612d5faaf9655295a8","ad810c27047b4ab648031c9b157acce4ab7c661c","root","ad810c27047b4ab648031c9b157acce4ab7c661c-b327848a3a74ecec9f2e738404f466cf623e4094"
"Navy Reserve","","","","","","","","","","4.582","5.336","3.117","","3.117","4.212","4.503","4.534","4.627","","","","","","","","","ad810c27047b4ab648031c9b157acce4ab7c661c-1-7eed4e4a7c26db356c443286c5988780326d2239","ad810c27047b4ab648031c9b157acce4ab7c661c","root","ad810c27047b4ab648031c9b157acce4ab7c661c-b327848a3a74ecec9f2e738404f466cf623e4094"
"Air Force Active","","","","","","","","","","17.019","21.865","32.458","","32.458","53.146","44.854","31.717","28.105","","","","","","","","","adb277cb015590fdd6067659b432c1ca812bd6ea-0-76369034fef6edcb2af8cc60ede7c72f4e214b37","adb277cb015590fdd6067659b432c1ca812bd6ea","root","adb277cb015590fdd6067659b432c1ca812bd6ea-918d5b6d63d8765710da6bf33deaa78b4e3b922d"
"Air National Guard","","","","","","","","","","","0","","","","","","","","","","","","","","","","adb277cb015590fdd6067659b432c1ca812bd6ea-1-ceb054f75bad8ff94f311ef2f1ab8b0e5ff16f31","adb277cb015590fdd6067659b432c1ca812bd6ea","root","adb277cb015590fdd6067659b432c1ca812bd6ea-918d5b6d63d8765710da6bf33deaa78b4e3b922d"
"Air Force Reserve","","","","","","","","","","0","0","","","","","","","","","","","","","","","","adb277cb015590fdd6067659b432c1ca812bd6ea-2-5340ee71aa4dc8a91a619e26c784c438782d815d","adb277cb015590fdd6067659b432c1ca812bd6ea","root","adb277cb015590fdd6067659b432c1ca812bd6ea-918d5b6d63d8765710da6bf33deaa78b4e3b922d"
"Air Force Active","","","","","","","","","","3.127","9.46","1.415","3.58","4.995","","","","","","","","","","","","","adee294dc2214194fa907c6fc516a5249374e982-0-c4f7914f6b4da0d019b594988e495559552fb908","adee294dc2214194fa907c6fc516a5249374e982","root","adee294dc2214194fa907c6fc516a5249374e982-021838d850b039f541cdda40be3cb2634b3443af"
"Air National Guard","","","","","","","","","","0.363","2.714","0.716","0","0.716","","","","","","","","","","","","","adee294dc2214194fa907c6fc516a5249374e982-1-5c104c918ff58cd43b70aa517a36627219abccd4","adee294dc2214194fa907c6fc516a5249374e982","root","adee294dc2214194fa907c6fc516a5249374e982-021838d850b039f541cdda40be3cb2634b3443af"
"Air Force Reserve","","","","","","","","","","0.15","1.168","0.239","0","0.239","","","","","","","","","","","","","adee294dc2214194fa907c6fc516a5249374e982-2-7d891ca90fba445a62c02445d3b41e0ce0bc4384","adee294dc2214194fa907c6fc516a5249374e982","root","adee294dc2214194fa907c6fc516a5249374e982-021838d850b039f541cdda40be3cb2634b3443af"
"Army Active","","","","","","","","","","29.795","28.913","16.082","","16.082","17.659","36.245","35.415","34.085","","","","","","","","","aeb7836eb2a9c26bd752dfa4f49ef85cce1fbaf8-0-9e163fbc7d68e7d159535b10103815667030e57c","aeb7836eb2a9c26bd752dfa4f49ef85cce1fbaf8","root","aeb7836eb2a9c26bd752dfa4f49ef85cce1fbaf8-ee6252b915dc5ab1c723a3f0f1ae27cec573e5f8"
"Air Force Active","","","","","","","","","","26.55","34.121","23.576","3.953","27.529","","","","","","","","","","","","","aed8b6246e726628b3c97fc220bd2a08e939e629-0-c413166e43dfdf416faeb0785438506ab92d1291","aed8b6246e726628b3c97fc220bd2a08e939e629","root","aed8b6246e726628b3c97fc220bd2a08e939e629-b39b910762bb2a201b53e505e426e1a7fbaa4f66"
"Air National Guard","","","","","","","","","","1.917","3.679","3.041","0","3.041","","","","","","","","","","","","","aed8b6246e726628b3c97fc220bd2a08e939e629-1-92ce58b1493ecf1887a64e6967aad0aeb7767d94","aed8b6246e726628b3c97fc220bd2a08e939e629","root","aed8b6246e726628b3c97fc220bd2a08e939e629-b39b910762bb2a201b53e505e426e1a7fbaa4f66"
"Air Force Reserve","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","aed8b6246e726628b3c97fc220bd2a08e939e629-2-e3d6688d840f22686f09663a06fad08b8c5c8ea1","aed8b6246e726628b3c97fc220bd2a08e939e629","root","aed8b6246e726628b3c97fc220bd2a08e939e629-b39b910762bb2a201b53e505e426e1a7fbaa4f66"
"Army Active","","","","","","","","","","23.101","5.442","21.516","","21.516","","","","","","","","","","","","","aef64f2b2cc99fa8774aad42d2b735204847bc1e-0-a7f6803addfcd665d645df8eb33ff120ae119fb5","aef64f2b2cc99fa8774aad42d2b735204847bc1e","root","aef64f2b2cc99fa8774aad42d2b735204847bc1e-cfc561151165a2cce7703f2d71db00f04895a42b"
"Army Active","","","2","","2","2","2","3","","","","2.662","","2.662","2.715","2.785","4.097","","","","","","","","","","afad1381e4feb30875ccc29780cda9ec37ea7dbd-0-57b72702e2b6314f7af8e8220f381571d62ca55c","afad1381e4feb30875ccc29780cda9ec37ea7dbd","root","afad1381e4feb30875ccc29780cda9ec37ea7dbd-abc789cea68ace4091096b3668b4e82438acc5f9"
"Army National Guard","","","1","","1","2","3","2","","","","1.353","","1.353","2.713","4.194","2.632","","","","","","","","","","afad1381e4feb30875ccc29780cda9ec37ea7dbd-1-932d1560f184e24d1f2793b9da7e6225d43e46ff","afad1381e4feb30875ccc29780cda9ec37ea7dbd","root","afad1381e4feb30875ccc29780cda9ec37ea7dbd-abc789cea68ace4091096b3668b4e82438acc5f9"
"Army Reserve","","1","1","","1","","","","","","1.435","1.353","","1.353","","","","","","","","","","","","","afad1381e4feb30875ccc29780cda9ec37ea7dbd-2-81a7eb2f21894256226c101b9f4acd5aed2c3ae3","afad1381e4feb30875ccc29780cda9ec37ea7dbd","root","afad1381e4feb30875ccc29780cda9ec37ea7dbd-abc789cea68ace4091096b3668b4e82438acc5f9"
"Air Force Active","","","","","","","","","","10.331","14.027","9.818","0","9.818","","","","","","","","","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-0-8f6aa72ec19e1dd57ccb4904d9a25ca92ba05285","b00131f9fd6e71e0694eac6ecfee001009506cd6","root","b00131f9fd6e71e0694eac6ecfee001009506cd6-74a70f881aa265590fb7f8e3b8eada014bca46f0"
"Air National Guard","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-1-2b7e0fe53607e8619040eb45bc4a4fd2726a94dd","b00131f9fd6e71e0694eac6ecfee001009506cd6","root","b00131f9fd6e71e0694eac6ecfee001009506cd6-74a70f881aa265590fb7f8e3b8eada014bca46f0"
"Air Force Reserve","","","","","","","","","","0","0","2.665","0","2.665","","","","","","","","","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-2-1e092983293687d1e4a63520310879c437b4f2d7","b00131f9fd6e71e0694eac6ecfee001009506cd6","root","b00131f9fd6e71e0694eac6ecfee001009506cd6-74a70f881aa265590fb7f8e3b8eada014bca46f0"
"Army Active","","","","","","","","","","13.992","7.054","9.203","","9.203","9.859","","","6.187","","","","","","","","","b0225d6eaf5ea7e71b0497ddf9059ee130a07fcf-0-d7485ed41235fdbde9d97d28032cae6401a9eb45","b0225d6eaf5ea7e71b0497ddf9059ee130a07fcf","root","b0225d6eaf5ea7e71b0497ddf9059ee130a07fcf-46c66b71cd4201e508ea8c54d4ee6b2c5b4cfa9b"
"Army National Guard","","","","","","","","","","","4.4","2","","2","2","","","","","","","","","","","","b0225d6eaf5ea7e71b0497ddf9059ee130a07fcf-1-f55a8487536c487fe64a79b0837f0f3a6c038f17","b0225d6eaf5ea7e71b0497ddf9059ee130a07fcf","root","b0225d6eaf5ea7e71b0497ddf9059ee130a07fcf-46c66b71cd4201e508ea8c54d4ee6b2c5b4cfa9b"
"Army Reserve","","","","","","","","","","","","2.25","","2.25","2","","","","","","","","","","","","b0225d6eaf5ea7e71b0497ddf9059ee130a07fcf-2-8ad1e059dec1f6e56dbcc3d471cdf433f0fa4a22","b0225d6eaf5ea7e71b0497ddf9059ee130a07fcf","root","b0225d6eaf5ea7e71b0497ddf9059ee130a07fcf-46c66b71cd4201e508ea8c54d4ee6b2c5b4cfa9b"
"Army Active","","","","","","","","","","1.185","4.186","","","","","","","","","","","","","","","","b09874c40de6d796f6130fa0a69511b3c8ca4d92-0-91e31db510e948d19afa117c88010b09ec20989e","b09874c40de6d796f6130fa0a69511b3c8ca4d92","root","b09874c40de6d796f6130fa0a69511b3c8ca4d92-3b7360371dc914a28f80996fbd6fc65567725f0c"
"Air Force Active","","","","","","","","","","1.879","6.195","8.551","0","8.551","","","","","","","","","","","","","b15592c55d69d555f58e948a99f222e44430c099-0-c46f393749a88401bb089ebf88e0f8b988534967","b15592c55d69d555f58e948a99f222e44430c099","root","b15592c55d69d555f58e948a99f222e44430c099-faab6aea610973787b128290d1c3a4617f6ec2c3"
"Air National Guard","","","","","","","","","","0.112","0.258","0.231","0","0.231","","","","","","","","","","","","","b15592c55d69d555f58e948a99f222e44430c099-1-5bad05150c252e1378e358511da0225db3a4e371","b15592c55d69d555f58e948a99f222e44430c099","root","b15592c55d69d555f58e948a99f222e44430c099-faab6aea610973787b128290d1c3a4617f6ec2c3"
"Air Force Reserve","","","","","","","","","","0.057","0.075","0.052","0","0.052","","","","","","","","","","","","","b15592c55d69d555f58e948a99f222e44430c099-2-097d7872203d248ca276fff56ce2beb10590d18f","b15592c55d69d555f58e948a99f222e44430c099","root","b15592c55d69d555f58e948a99f222e44430c099-faab6aea610973787b128290d1c3a4617f6ec2c3"
"Army Active","38","50","79","","79","47","42","25","","655.627","856.87","1303.574","","1303.574","970.931","748.585","671.498","","","","","","","","","","b230e503cab545e740ad67c0aed66aa7190f6f12-0-faf3fc2461f62a01fda4e5c12c99f8e5f628a65f","b230e503cab545e740ad67c0aed66aa7190f6f12","root","b230e503cab545e740ad67c0aed66aa7190f6f12-b9df1051c2f8bd75cd782ac39b37a8986f86237d"
"Army National Guard","32","31","15","","15","13","30","12","38","573.35","508.285","259.45","","259.45","292.123","433.814","271.572","960.53","","","","","","","","","b230e503cab545e740ad67c0aed66aa7190f6f12-1-4d983c1297a38b74f0893353e4f7b125c2117af0","b230e503cab545e740ad67c0aed66aa7190f6f12","root","b230e503cab545e740ad67c0aed66aa7190f6f12-b9df1051c2f8bd75cd782ac39b37a8986f86237d"
"Army Reserve","","6","","","","","","","","","108.21","","","","","","","","","","","","","","","","b230e503cab545e740ad67c0aed66aa7190f6f12-2-3bacde44e3571e823998f81fa1b156b283a270b3","b230e503cab545e740ad67c0aed66aa7190f6f12","root","b230e503cab545e740ad67c0aed66aa7190f6f12-b9df1051c2f8bd75cd782ac39b37a8986f86237d"
"Army Active","","","62","","62","133","126","","","","","305.743","","305.743","418.163","434.585","112.388","77.78","","","","","","","","","b23b2049d1334e3450d243443f41558fd3bfc6d1-0-e2280c52fe52c74e7fc92748b8128e44efc243ba","b23b2049d1334e3450d243443f41558fd3bfc6d1","root","b23b2049d1334e3450d243443f41558fd3bfc6d1-93419cda0daee638afa9b465bdcdf7704b296a7c"
"Army Active","","50","20","","20","","21","19","","","11.127","6.783","","6.783","","11.706","10.361","","","","","","","","","","b4059eb0122517047f45edea99e01892d1f79289-0-9981b2bdb591c9958f400d2dedbb819914ef83eb","b4059eb0122517047f45edea99e01892d1f79289","root","b4059eb0122517047f45edea99e01892d1f79289-2a707d6ab30644d361161802ec797275d98ad9dd"
"Army National Guard","","17","10","","10","11","33","54","79","","4.08","3.391","","3.391","6.405","17.558","22.328","34.814","","","","","","","","","b4059eb0122517047f45edea99e01892d1f79289-1-c7f98179f5896e21fff2ca14c323769b5539bf66","b4059eb0122517047f45edea99e01892d1f79289","root","b4059eb0122517047f45edea99e01892d1f79289-2a707d6ab30644d361161802ec797275d98ad9dd"
"Army Reserve","","17","10","","10","11","33","54","65","","3.338","3.391","","3.391","6.405","17.558","22.328","27.504","","","","","","","","","b4059eb0122517047f45edea99e01892d1f79289-2-2762bce7f84887a805d1990ff4ac5398d1835148","b4059eb0122517047f45edea99e01892d1f79289","root","b4059eb0122517047f45edea99e01892d1f79289-2a707d6ab30644d361161802ec797275d98ad9dd"
"Army Active","","","","","","","","","","31.222","8.36","13.233","","13.233","13.557","16.835","19.162","30.409","","","","","","","","","b4d18879007d7ab2478b9675efb392f28bf9284b-0-655d6e9eb5f7420059bbd5dcc763db7c1e3db87f","b4d18879007d7ab2478b9675efb392f28bf9284b","root","b4d18879007d7ab2478b9675efb392f28bf9284b-f9ac4f9097a1fd95727c6b63576b0fcdaca2354b"
"Army National Guard","","","","","","","","","","6.815","5.725","9.081","","9.081","9.306","11.552","12.784","19.906","","","","","","","","","b4d18879007d7ab2478b9675efb392f28bf9284b-1-745c2ead8e45215367331b8c9900c172661258db","b4d18879007d7ab2478b9675efb392f28bf9284b","root","b4d18879007d7ab2478b9675efb392f28bf9284b-f9ac4f9097a1fd95727c6b63576b0fcdaca2354b"
"Army Active","18","32","","","","","","","3","5.117","6.389","3.265","","3.265","3.081","4.155","5.013","4.401","","","","","","","","","b6724de9265ac32f1703c4c7323a8d44a0deff42-0-cf46df87f3642d407ac138c857df2f1b2615337f","b6724de9265ac32f1703c4c7323a8d44a0deff42","root","b6724de9265ac32f1703c4c7323a8d44a0deff42-0d59dea3f151759196f1158132ae78d79f7891e7"
"Army National Guard","","2","","","","21","7","5","24","2.419","1.888","3.264","","3.264","6.23","5.204","5.763","7.552","","","","","","","","","b6724de9265ac32f1703c4c7323a8d44a0deff42-1-fe76e0be59166049ebf1ddc5d5eab64e979afeb3","b6724de9265ac32f1703c4c7323a8d44a0deff42","root","b6724de9265ac32f1703c4c7323a8d44a0deff42-0d59dea3f151759196f1158132ae78d79f7891e7"
"Army Reserve","","2","","","","3","","","2","2.419","1.888","3.264","","3.264","3.531","4.155","5.013","4.252","","","","","","","","","b6724de9265ac32f1703c4c7323a8d44a0deff42-2-03599971e6fbcc58315f0473e0dbb0e11c3a97fb","b6724de9265ac32f1703c4c7323a8d44a0deff42","root","b6724de9265ac32f1703c4c7323a8d44a0deff42-0d59dea3f151759196f1158132ae78d79f7891e7"
"Air Force Active","","","","","","","","","","1.954","16.437","29.26","9.8","39.06","","","","","","","","","","","","","b74203b4aeba5712c82474b0e9624c0322f56f80-0-397109ba3465156f8c7e4210ab9382543e1fd4b9","b74203b4aeba5712c82474b0e9624c0322f56f80","root","b74203b4aeba5712c82474b0e9624c0322f56f80-fe3c4c474662883a60bf29f1699879ce9aefa78d"
"Air National Guard","","","","","","","","","","0","0","1.078","0","1.078","","","","","","","","","","","","","b74203b4aeba5712c82474b0e9624c0322f56f80-1-72ebd3b4640b2b10cb16c9aae1e4503b4971736a","b74203b4aeba5712c82474b0e9624c0322f56f80","root","b74203b4aeba5712c82474b0e9624c0322f56f80-fe3c4c474662883a60bf29f1699879ce9aefa78d"
"Air Force Reserve","","","","","","","","","","0","0","0.139","0","0.139","","","","","","","","","","","","","b74203b4aeba5712c82474b0e9624c0322f56f80-2-aa1ccd20daf6993ac473eda5e1194fcc6b9474b2","b74203b4aeba5712c82474b0e9624c0322f56f80","root","b74203b4aeba5712c82474b0e9624c0322f56f80-fe3c4c474662883a60bf29f1699879ce9aefa78d"
"Army Active","15","7","","","","","","","","62.951","36.583","2.975","","2.975","2.952","","","","","","","","","","","","b83c0dc1edb4d29995aa8cfb0c32f6cac99289aa-0-c584bbee28b98dec9519b22c17a2005dd2144c4a","b83c0dc1edb4d29995aa8cfb0c32f6cac99289aa","root","b83c0dc1edb4d29995aa8cfb0c32f6cac99289aa-946b2d054d17c6618c887996f2c80bba66cf8666"
"Navy Reserve","","","","","","","","","","2.992","4.918","5.816","","5.816","1.417","0.639","3.682","3.754","","","","","","","","","b882f02b03eb59485d02cf28dd28f6e37893270c-0-1d9c268025faffdc3e278697e6fa8c7844b7e649","b882f02b03eb59485d02cf28dd28f6e37893270c","root","b882f02b03eb59485d02cf28dd28f6e37893270c-a9ed97f753d560e296d5e8ea94e74d62a688ea2e"
"Air Force Active","","","","","","","","","","23.055","57.829","43.547","39.3","82.847","74.916","43.019","23.132","22.611","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-0-96eb2f9090ec9844c0ce1cb5bd4f9e2efd142463","b899bbf512008b477d2766328b2a6697fb35d35b","root","b899bbf512008b477d2766328b2a6697fb35d35b-8637d5823eed35d663583766e9f2461d2949b72e"
"Air National Guard","","","","","","","","","","3.127","0.461","0.772","","0.772","8.94","6.242","6.06","0.7","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-1-3abfe746cdef8a59a0b7917dfc0b116f4538384f","b899bbf512008b477d2766328b2a6697fb35d35b","root","b899bbf512008b477d2766328b2a6697fb35d35b-8637d5823eed35d663583766e9f2461d2949b72e"
"Air Force Reserve","","","","","","","","","","1.472","1.82","1.412","0","1.412","6.315","4.216","3.69","0.42","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-2-64e9c56db0d47ef9e35e78142f1d8ed0e34ab81a","b899bbf512008b477d2766328b2a6697fb35d35b","root","b899bbf512008b477d2766328b2a6697fb35d35b-8637d5823eed35d663583766e9f2461d2949b72e"
"Navy Active","","","","","","","","","","9.534","6.434","8.101","","8.101","5.341","5.835","8.467","8.628","","","","","","","","","b8e7d4484b68c31167e4360f586b4eb937f737b3-0-4e257f05497d6abcf2525fee890fac424432917a","b8e7d4484b68c31167e4360f586b4eb937f737b3","root","b8e7d4484b68c31167e4360f586b4eb937f737b3-08d15ca865d0b80b57b44e3d8ef5ed3446206b0f"
"Navy Reserve","","","","","","","","","","1.715","0.816","0.123","","0.123","","","","","","","","","","","","","b8e7d4484b68c31167e4360f586b4eb937f737b3-1-b33fa4495687ea48e4f7166a9da26e60c66ced44","b8e7d4484b68c31167e4360f586b4eb937f737b3","root","b8e7d4484b68c31167e4360f586b4eb937f737b3-08d15ca865d0b80b57b44e3d8ef5ed3446206b0f"
"Army Active","6","10","14","","14","35","36","34","37","94.192","98.314","72.277","","72.277","96.825","114.541","99.819","64.178","","","","","","","","","b9915cf7cad58a5437c2cf090c000a01728c609e-0-ab990b8e7431f9b42c58c3938978295056f597c1","b9915cf7cad58a5437c2cf090c000a01728c609e","root","b9915cf7cad58a5437c2cf090c000a01728c609e-1591d0fee9a28ffdcbbfbbe79483ce5a60e2a314"
"Army National Guard","","3","7","","7","","","","","","27.836","22.268","","22.268","","","","","","","","","","","","","b9915cf7cad58a5437c2cf090c000a01728c609e-1-7dd3adc3adb584673875c2109638826078bf6117","b9915cf7cad58a5437c2cf090c000a01728c609e","root","b9915cf7cad58a5437c2cf090c000a01728c609e-1591d0fee9a28ffdcbbfbbe79483ce5a60e2a314"
"Army Reserve","","1","","","","","","","","","1.082","","","","","","","","","","","","","","","","b9915cf7cad58a5437c2cf090c000a01728c609e-2-c37491f87583017c20205c63b4483d32ed5c58f4","b9915cf7cad58a5437c2cf090c000a01728c609e","root","b9915cf7cad58a5437c2cf090c000a01728c609e-1591d0fee9a28ffdcbbfbbe79483ce5a60e2a314"
"Army Active","235","1763","3309","","3309","2083","2881","2885","2843","40.129","45.616","81.641","","81.641","72.937","76.214","79.673","74.162","","","","","","","","","b99df48762312448f73dd6b18a6d0f3e43eed8fd-0-e85ed02ef642de866fbc23a3dcf589d575c3215c","b99df48762312448f73dd6b18a6d0f3e43eed8fd","root","b99df48762312448f73dd6b18a6d0f3e43eed8fd-cfceb2a12c0bb9d9abfa1d35239d134f8ebd7a1e"
"Army National Guard","","2077","2163","","2163","1142","1476","1873","1543","","67.062","57.372","","57.372","36.714","35.364","42.975","40.236","","","","","","","","","b99df48762312448f73dd6b18a6d0f3e43eed8fd-1-41df0ae9f064401d75c95a2df5806bd3af16a7be","b99df48762312448f73dd6b18a6d0f3e43eed8fd","root","b99df48762312448f73dd6b18a6d0f3e43eed8fd-cfceb2a12c0bb9d9abfa1d35239d134f8ebd7a1e"
