"Name_val","Name_@footnote","Cost_Quantity_AllPriorYears_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_Continuing_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"1.1.6) ASIST - NonOrganic","","","","4","5","5","","9","","","","","","","","0.584","0.744","0.744","","1.328","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-5-c85623f5b2a5b7b99af85be8b0147a0b2993433e","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-d2274a0efa48a13a7bc3b9a571751ee545eb6e4f"
"1.1.7) ADTS Kit - NonOrganic","","","","","","","","203","","27","30","146","","","","","","","","37.819","","4.424","5.423","27.972","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-6-24417ee7633d80e36f75d2abce5fde7bad116485","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-d2274a0efa48a13a7bc3b9a571751ee545eb6e4f"
"1.1.1) ARCHIVED ECPs - Organic","","","","","","","","","","","","","","45.108","","","","","","45.108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-cb47e363bac4ab4eb9717b688aa1aa45b1fe2ef9","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-2c1aa122a785023813883cc6009d2bfdd7795bea"
"1.1.2) ECP 4034 Block 2B/Block 3B Full P3I - NonOrganic","Cost element 1.1.2 procured FY2015 kits will not be installed until FY2017 due to unforeseen fleet unavailability for required Planned Maintenance Interval (PMI) to complete installation.","54","6","","","","","60","","","","","","11.828","0.589","","","","","12.417","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-1-a2cd9bceb639fced060ca7f3234f49284d791031","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-2c1aa122a785023813883cc6009d2bfdd7795bea"
"1.1.3) ECP 4034 Block 3B Partial P3I - NonOrganic","","46","","","","","","46","","","","","","1.006","","","","","","1.006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-2-63ccf6cc249b391bb8e54efd874f73c69dffb3c5","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-2c1aa122a785023813883cc6009d2bfdd7795bea"
"1.1.4) ECP 4039 - NonOrganic","","53","14","15","4","4","","86","","","","","","7.562","1.145","1.383","0.376","0.376","","10.466","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-3-6fcfe35d38921dc10f131a733d8ebaf91871df30","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-2c1aa122a785023813883cc6009d2bfdd7795bea"
"1.1.5) ECP 4046  AVC/DALS - NonOrganic","","12","10","12","16","16","10","76","16","","","","","2.897","2.8","3.64","4.947","4.947","3.153","22.583","5.146","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-4-06413889f2b147eda2b70a0f8734639dfc71b511","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-2c1aa122a785023813883cc6009d2bfdd7795bea"
"1.1.6) Integrated Mechnical Diagnostics Systems (IMDS) - NonOrganic","","123","17","24","","","","164","","","","","","14.139","3.03","4.363","","","","21.532","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-5-2c7d3efce58babbcdc16350fea46609c7965f4b8","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-2c1aa122a785023813883cc6009d2bfdd7795bea"
"1.1.7) Data Link A Kit - NonOrganic","","","","","18","18","18","219","18","24","24","117","","0.383","","","2.91","2.91","2.968","39.31","3.027","4.117","4.199","21.706","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-6-2ea07205db929651cd4827ee1609221d37882bf2","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-2c1aa122a785023813883cc6009d2bfdd7795bea"
"1.1.8) FFW - NonOrganic","","178","38","","","","","216","","","","","","1.581","0.233","","","","","1.814","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-7-e43ddc18f0355ca272369dce44f16ff74b360b4b","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-2c1aa122a785023813883cc6009d2bfdd7795bea"
"1.1.9) ECP 4057 Lower Anti-Collision Fix - Organic","","","134","134","","","","268","","","","","","","0.228","0.225","","","","0.453","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-8-b0dce7352199a38447da0db95ced0f066463a550","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-2c1aa122a785023813883cc6009d2bfdd7795bea"
"1.1.10) HDTS Akit - NonOrganic","","","","12","18","18","18","219","24","24","30","93","","","","0.432","0.661","0.661","0.674","8.656","0.916","0.934","1.191","3.848","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-9-baf65f2be58244c5c2a1da5f85d27b8ab5a22bed","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-2c1aa122a785023813883cc6009d2bfdd7795bea"
"1.1.11) ADTS Kits - NonOrganic","","","","","","","","203","","27","30","146","","","","","","","","26.423","","3.31","3.752","19.361","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-10-8246c063a8f0aacffb78155b451c555cb4c05d8f","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-2c1aa122a785023813883cc6009d2bfdd7795bea"
"1.1.12) DAIRCM - Organic","","","","","","14","","14","","","","","14","","","","0","3","","3","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-11-5e1d1895fc4b1c2a98366562540d20dec78b1c73","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-2c1aa122a785023813883cc6009d2bfdd7795bea"
"1.1.1) Archived ECPs - Organic","","","","","","","","","","","","","","4.934","","","","","","4.934","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-e04734763006294f099fd6f002fb8573da20df08","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-62f488796acf5479f3a7d7a24946959445aaeabf"
"1.1.2) HH-60H Wiring - NonOrganic","","26","","","","","","26","","","","","","2.101","","","","","","2.101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-1-1d1a38d0c838cacb0c00d6ef5b40d4d0cc82cee8","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-62f488796acf5479f3a7d7a24946959445aaeabf"
"1.1.3) Obsolescence Components Kits - Organic","","","","","","","","917","","13","25","879","","","","","","","","245.357","","10.715","21.429","213.213","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-2-a0c90785ed8e56b36994f703f0a47dc6f7174523","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-62f488796acf5479f3a7d7a24946959445aaeabf"
"1.1.4) ACRT - Organic","","","35","","","","","35","","","","","","","0.07","","","","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-3-0ba358320651453c28bb22496b07c6b0a928e6d7","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-62f488796acf5479f3a7d7a24946959445aaeabf"
"1.1.1) Inactive OSIPs - Organic","","","","","","","","","","","","","","363.192","","","","","","363.192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-7cac2af67caa9e9ae2cb1ae2c413f11379623b1d","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-a5d0ee90ec18e0ccabb684a0e55161de60ddff4e"
"Kit Quantity","","484","32","233","27","252","35","1209","94","26","53","","225","184.579","0.613","63.158","9.676","82.437","12.441","399.735","29.814","7.974","18.719","","72.761","","","","","","","","","","","","","","","","","","","","","","","","","","","c04b1032fd759fadd41cf9238cbdb30b557c8d63-0-6edd2aa3ecb187e0bd5dab2a977791eb35e06340","c04b1032fd759fadd41cf9238cbdb30b557c8d63","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c04b1032fd759fadd41cf9238cbdb30b557c8d63-0-4ec6ef917902abdad1bed9f8cc4584b25f350318"
"Installation of Hardware (OCO only)","","","","","","0","","0","","","","","0","","","","","23.029","","23.029","","","","","23.029","","","","","","","","","","","","","","","","","","","","","","","","","","","c04b1032fd759fadd41cf9238cbdb30b557c8d63-1-cc5b7b67173de383bec84e1c7df658b7102dba35","c04b1032fd759fadd41cf9238cbdb30b557c8d63","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c04b1032fd759fadd41cf9238cbdb30b557c8d63-0-4ec6ef917902abdad1bed9f8cc4584b25f350318"
"Testing","","0","0","0","","","","0","","","","","","22.895","2.973","3.52","","","","29.388","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c04b1032fd759fadd41cf9238cbdb30b557c8d63-2-0685a3372f8b82bf8fb6538e7227becb46782b8a","c04b1032fd759fadd41cf9238cbdb30b557c8d63","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c04b1032fd759fadd41cf9238cbdb30b557c8d63-0-4ec6ef917902abdad1bed9f8cc4584b25f350318"
"Fielding","","0","0","0","0","0","0","0","0","0","0","","0","2.746","7.245","8.9","0.15","6.75","7.345","53.257","7.592","6","6.679","","6.6","","","","","","","","","","","","","","","","","","","","","","","","","","","c04b1032fd759fadd41cf9238cbdb30b557c8d63-3-00ccbe717569f8a6a2a00a74c56c00fd2357e7c7","c04b1032fd759fadd41cf9238cbdb30b557c8d63","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c04b1032fd759fadd41cf9238cbdb30b557c8d63-0-4ec6ef917902abdad1bed9f8cc4584b25f350318"
"ICLS","","0","0","0","0","0","0","0","0","0","0","","","34.361","10.16","17.979","18.841","18.841","19.679","138.497","16.68","16.154","4.643","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c04b1032fd759fadd41cf9238cbdb30b557c8d63-4-94bfbf7159d149aaeaca32f283cc3a62ceaba7bc","c04b1032fd759fadd41cf9238cbdb30b557c8d63","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c04b1032fd759fadd41cf9238cbdb30b557c8d63-0-4ec6ef917902abdad1bed9f8cc4584b25f350318"
"GFE","","0","0","0","0","0","0","0","0","0","0","","0","15.604","4.485","5.9","3.183","8.007","4.961","47.363","4.174","1.132","3.1","","4.824","","","","","","","","","","","","","","","","","","","","","","","","","","","c04b1032fd759fadd41cf9238cbdb30b557c8d63-5-bc059d15c7da8ecfc52c22c96bc4df2feb6f407a","c04b1032fd759fadd41cf9238cbdb30b557c8d63","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c04b1032fd759fadd41cf9238cbdb30b557c8d63-0-4ec6ef917902abdad1bed9f8cc4584b25f350318"
"Log Support","","0","0","0","0","0","0","0","0","0","0","","0","54.622","15.7","12.514","1.33","3.362","4.026","94.209","1.619","1.075","1.291","","2.032","","","","","","","","","","","","","","","","","","","","","","","","","","","c04b1032fd759fadd41cf9238cbdb30b557c8d63-6-9e1272451d174c510a2e10afb26609d706f92b42","c04b1032fd759fadd41cf9238cbdb30b557c8d63","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c04b1032fd759fadd41cf9238cbdb30b557c8d63-0-4ec6ef917902abdad1bed9f8cc4584b25f350318"
"Equipment","","0","0","0","","0","0","0","0","0","0","","0","36.197","1.863","19.519","","23.351","12.562","111.14","9.312","3.086","5.25","","23.351","","","","","","","","","","","","","","","","","","","","","","","","","","","c04b1032fd759fadd41cf9238cbdb30b557c8d63-7-989bdb9927ee3933af4456795fb512a7a807c570","c04b1032fd759fadd41cf9238cbdb30b557c8d63","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c04b1032fd759fadd41cf9238cbdb30b557c8d63-0-4ec6ef917902abdad1bed9f8cc4584b25f350318"
"Parts","","0","0","0","0","0","0","0","0","0","0","","","12.919","0.575","3.715","0.658","0.658","3.146","23.745","0.5","1.504","0.728","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c04b1032fd759fadd41cf9238cbdb30b557c8d63-8-99d0663954e7db559f35d1237ab50e7875bbd8e2","c04b1032fd759fadd41cf9238cbdb30b557c8d63","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c04b1032fd759fadd41cf9238cbdb30b557c8d63-0-4ec6ef917902abdad1bed9f8cc4584b25f350318"
"Systems Technical Support","","","0","0","0","0","0","0","0","0","0","","0","","1.188","11.936","3.709","11.078","4","33.202","2","1.5","1.5","","7.369","","","","","","","","","","","","","","","","","","","","","","","","","","","c04b1032fd759fadd41cf9238cbdb30b557c8d63-9-06b332ee74e906b09d376fd491d575d55f5d96c8","c04b1032fd759fadd41cf9238cbdb30b557c8d63","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c04b1032fd759fadd41cf9238cbdb30b557c8d63-0-4ec6ef917902abdad1bed9f8cc4584b25f350318"
"Program Support","","0","0","0","0","0","0","0","0","0","0","","0","36.846","5.029","17.133","4.5","17.058","9.359","108.689","8.895","7.147","7.222","","12.558","","","","","","","","","","","","","","","","","","","","","","","","","","","c04b1032fd759fadd41cf9238cbdb30b557c8d63-10-b7d10f146371cb7b38acffd6bf707b26882f91c2","c04b1032fd759fadd41cf9238cbdb30b557c8d63","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c04b1032fd759fadd41cf9238cbdb30b557c8d63-0-4ec6ef917902abdad1bed9f8cc4584b25f350318"
"Transportation","","0","0","0","0","0","0","0","0","0","0","","0","5.979","1","2.155","1","2","2","16.344","0.812","1","1.398","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","c04b1032fd759fadd41cf9238cbdb30b557c8d63-11-27b26ca0264f84208838270f2a5118f3a5ded113","c04b1032fd759fadd41cf9238cbdb30b557c8d63","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c04b1032fd759fadd41cf9238cbdb30b557c8d63-0-4ec6ef917902abdad1bed9f8cc4584b25f350318"
"Kit Quantity","","0","","","377","497","","985","138","235","115","","120","145.73","","","3.058","4.031","","154.678","1.883","2.024","1.01","","0.973","","","","","","","","","","","","","","","","","","","","","","","","","","","c04b1032fd759fadd41cf9238cbdb30b557c8d63-0-18e6379b7a02bf89a785187e103bf4d379b6ace7","c04b1032fd759fadd41cf9238cbdb30b557c8d63","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c04b1032fd759fadd41cf9238cbdb30b557c8d63-1-78c459482dc4c492d83a32d5b0580fe43d922cef"
"Install Hardware (OCO Only)","","","","","","0","","0","","","","","0","","","","","0.708","","0.708","","","","","0.708","","","","","","","","","","","","","","","","","","","","","","","","","","","c04b1032fd759fadd41cf9238cbdb30b557c8d63-1-2e6913e9ad24f58e0cb76fa5fbaadc04f17a55e3","c04b1032fd759fadd41cf9238cbdb30b557c8d63","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c04b1032fd759fadd41cf9238cbdb30b557c8d63-1-78c459482dc4c492d83a32d5b0580fe43d922cef"
"Systems Engineering/Program Mgt Support","","","0","0","0","0","0","0","0","0","0","","","","0.737","0.2","0.808","0.808","0.418","3.849","0.73","0.692","0.264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c04b1032fd759fadd41cf9238cbdb30b557c8d63-2-897e79ec5f077131743b47c4e5317523a1990d9b","c04b1032fd759fadd41cf9238cbdb30b557c8d63","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c04b1032fd759fadd41cf9238cbdb30b557c8d63-1-78c459482dc4c492d83a32d5b0580fe43d922cef"
"CTE Install Instructions","","","0","","","","","0","","","","","","","1.868","","","","","1.868","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c04b1032fd759fadd41cf9238cbdb30b557c8d63-3-37c205560652941691d24cd48d21ee2e0dfef6ca","c04b1032fd759fadd41cf9238cbdb30b557c8d63","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c04b1032fd759fadd41cf9238cbdb30b557c8d63-1-78c459482dc4c492d83a32d5b0580fe43d922cef"
"M1070A1 & M1000 MOD Study & Test","","","","0","","","","0","","","","","","","","2.005","","","","2.005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c04b1032fd759fadd41cf9238cbdb30b557c8d63-4-19bf90309543f3675c4501e95ad30ab71e4d636d","c04b1032fd759fadd41cf9238cbdb30b557c8d63","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c04b1032fd759fadd41cf9238cbdb30b557c8d63-1-78c459482dc4c492d83a32d5b0580fe43d922cef"
"Engineering Change Proposals (ECPs)","","","","0","","","","0","","","","","","","","0.01","","","","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c04b1032fd759fadd41cf9238cbdb30b557c8d63-5-661d28909a6d2dc52f3d40f085e2557ab180d63f","c04b1032fd759fadd41cf9238cbdb30b557c8d63","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c04b1032fd759fadd41cf9238cbdb30b557c8d63-1-78c459482dc4c492d83a32d5b0580fe43d922cef"
"Fielding","","","0","0","0","0","","0","0","0","0","","0","","0.68","0.505","0.932","1.021","","3.798","0.68","0.624","0.288","","0.089","","","","","","","","","","","","","","","","","","","","","","","","","","","c04b1032fd759fadd41cf9238cbdb30b557c8d63-6-5c2de607eb63c410a35e755db503297f396daabb","c04b1032fd759fadd41cf9238cbdb30b557c8d63","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c04b1032fd759fadd41cf9238cbdb30b557c8d63-1-78c459482dc4c492d83a32d5b0580fe43d922cef"
