"Name_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_AllPriorYears_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","","0.142","","","","0.142","","10","","3.04","","","","","","","","","","6db96cd5550d36690073e709877949f533d4daa3-0-f8235453b5dd27291b343df6d70b9b2bcb9a6312","6db96cd5550d36690073e709877949f533d4daa3","root","6db96cd5550d36690073e709877949f533d4daa3-df422bb3a0afc8ed61ffad54ac6a55181474030a"
"Army National Guard","","","","","","","","","","2.881","","","","","","","","","","6db96cd5550d36690073e709877949f533d4daa3-1-ae6e2b85497dbdaf10b670eaf79ad6d074562f6a","6db96cd5550d36690073e709877949f533d4daa3","root","6db96cd5550d36690073e709877949f533d4daa3-df422bb3a0afc8ed61ffad54ac6a55181474030a"
"Army Reserve","","","","","","","","","","0.291","","","","","","","","","","6db96cd5550d36690073e709877949f533d4daa3-2-ebcecba545105bdfab925b4db1a1138d86a8857a","6db96cd5550d36690073e709877949f533d4daa3","root","6db96cd5550d36690073e709877949f533d4daa3-df422bb3a0afc8ed61ffad54ac6a55181474030a"
"Army Active","","2.8","","","","2.8","","","","","","5","","6","","","","","","6e892a55d10947d29c64287465c2371d565cf99a-0-fb69d093e621764cc1c86a7246586dcdd3c4e3f2","6e892a55d10947d29c64287465c2371d565cf99a","root","6e892a55d10947d29c64287465c2371d565cf99a-f79d489b95a6ee75afa689ba3b60ad3b96f70de7"
"Army Active","","6.271","","","","6.271","","10.827","","7.779","","5.843","","6.562","","5.445","5","","","6eee8234053b1f409689481919849a714e110ff5-0-89ddb6de561ebe706526d67ba02adc630749b47e","6eee8234053b1f409689481919849a714e110ff5","root","6eee8234053b1f409689481919849a714e110ff5-d12aa51accd95759b50eedcd34525bd3db38f160"
"Army Active","8011","294.447","","","8011","294.447","17804","427.099","9023","451.788","7997","274.255","8095","430.424","8025","419.123","463.734","8973","","7144e0845629d417c2134eb674d7c53063f2ff5c-0-1cb11c97a604f05db0dba07a73a155946aa93029","7144e0845629d417c2134eb674d7c53063f2ff5c","root","7144e0845629d417c2134eb674d7c53063f2ff5c-be8b962a184fe554939b8bd38dccb26a368f14ef"
"Army National Guard","2512","88.483","","","2512","88.483","","","2036","104.462","2512","88.483","2512","88.483","2512","88.483","78.737","2389","","7144e0845629d417c2134eb674d7c53063f2ff5c-1-db1d609a7faa546baca638ce8193ee54e9c08b24","7144e0845629d417c2134eb674d7c53063f2ff5c","root","7144e0845629d417c2134eb674d7c53063f2ff5c-be8b962a184fe554939b8bd38dccb26a368f14ef"
"Air Force Active","","31.875","","","","31.875","","21.762","","25.876","","0.000","","0.000","","0.000","0.000","","","719fac7dc050e01ab81f064c81c8eeb37d39c5f7-0-5cd919b66f3f136efe36a829fe594bf3f74289d1","719fac7dc050e01ab81f064c81c8eeb37d39c5f7","root","719fac7dc050e01ab81f064c81c8eeb37d39c5f7-901d6cb034ede2293d40b853bc1dc185997ed8cb"
"Air National Guard","","0.000","","","","0.000","","","","7","","0.000","","0.000","","0.000","0.000","","","719fac7dc050e01ab81f064c81c8eeb37d39c5f7-1-e74a3f5fa124e43e89915118473250845180ec16","719fac7dc050e01ab81f064c81c8eeb37d39c5f7","root","719fac7dc050e01ab81f064c81c8eeb37d39c5f7-901d6cb034ede2293d40b853bc1dc185997ed8cb"
"Army Active","","9.856","","","","9.856","","0.5","","9.001","","0.181","","0.121","","","","","","7252978746ecef146b9937651ea523c5b8e13847-0-6659e959ded0a27402c0e3484b33094dcf9935c1","7252978746ecef146b9937651ea523c5b8e13847","root","7252978746ecef146b9937651ea523c5b8e13847-a95ba15319582fde22d59144d9a7fa0de0f7a85b"
"Air Force Active","","10.475","","","","10.475","","65.183","","70.555","","12.089","","39.077","","65.005","66.175","","88.533","7296f4110e57c917251c18f357d28b8c4ec7050c-0-86d5906f78c087e1ec3fb7e370541dbcb060d763","7296f4110e57c917251c18f357d28b8c4ec7050c","root","7296f4110e57c917251c18f357d28b8c4ec7050c-94e838d58bb30f8ee43eaf7f5c18733f65fd0247"
"Air National Guard","","","","","","","","0.544","","","","","","","","","","","12.755","7296f4110e57c917251c18f357d28b8c4ec7050c-1-92e931cb4e55c223275245e29d92033c942e5489","7296f4110e57c917251c18f357d28b8c4ec7050c","root","7296f4110e57c917251c18f357d28b8c4ec7050c-94e838d58bb30f8ee43eaf7f5c18733f65fd0247"
"Air Force Reserve","","","","","","","","0.306","","","","","","","","","","","3.783","7296f4110e57c917251c18f357d28b8c4ec7050c-2-090bd42ee75497bcb3e1bd4f6919748b4bbb184d","7296f4110e57c917251c18f357d28b8c4ec7050c","root","7296f4110e57c917251c18f357d28b8c4ec7050c-94e838d58bb30f8ee43eaf7f5c18733f65fd0247"
"Air Force Active","47","1.879","","","47","1.879","82","4.626","20","1.489","","0.000","","0.000","","0.000","0.000","","","7343edc7c585220b23ef5894ca716e4b7a4be467-0-2b770fbb5c8303b8666e7ab93e69f87bf7d6fe76","7343edc7c585220b23ef5894ca716e4b7a4be467","root","7343edc7c585220b23ef5894ca716e4b7a4be467-2ef16cf3d796f53aae5f974d411a9da7ffb233a2"
"Air National Guard","1","0.112","","","1","0.112","7","0.512","4","0.214","","0.000","","0.000","","0.000","0.000","","","7343edc7c585220b23ef5894ca716e4b7a4be467-1-cb4519800a6d48309cc2e582548295902874b500","7343edc7c585220b23ef5894ca716e4b7a4be467","root","7343edc7c585220b23ef5894ca716e4b7a4be467-2ef16cf3d796f53aae5f974d411a9da7ffb233a2"
"Air Force Reserve","3","0.057","","","3","0.057","7","0.483","4","0.202","","0.000","","0.000","","0.000","0.000","","","7343edc7c585220b23ef5894ca716e4b7a4be467-2-175fc4058aef7c0bbcb751b3c35aa5b98f04ca47","7343edc7c585220b23ef5894ca716e4b7a4be467","root","7343edc7c585220b23ef5894ca716e4b7a4be467-2ef16cf3d796f53aae5f974d411a9da7ffb233a2"
"Air Force Active","","14.01","","","","14.01","","13.706","","22.216","","0.000","","0.000","","0.000","0.000","","","74035f79f9ba6c7a5096666981704186f94628f4-0-638c5c2c3bea54ae64ab200be1bc11c6cd64b65d","74035f79f9ba6c7a5096666981704186f94628f4","root","74035f79f9ba6c7a5096666981704186f94628f4-e24ea83bb2086206ea32925512b5139b5018cabb"
"Air National Guard","","0.363","","","","0.363","","0.163","","1.099","","0.000","","0.000","","0.000","0.000","","","74035f79f9ba6c7a5096666981704186f94628f4-1-dfbc832add2cb8d6698d82252299c9f4c1baa0c2","74035f79f9ba6c7a5096666981704186f94628f4","root","74035f79f9ba6c7a5096666981704186f94628f4-e24ea83bb2086206ea32925512b5139b5018cabb"
"Air Force Reserve","","0.15","","","","0.15","","0.038","","0.28","","0.000","","0.000","","0.000","0.000","","","74035f79f9ba6c7a5096666981704186f94628f4-2-4681532fb499353091282187df43282bd072f06c","74035f79f9ba6c7a5096666981704186f94628f4","root","74035f79f9ba6c7a5096666981704186f94628f4-e24ea83bb2086206ea32925512b5139b5018cabb"
"Air Force Active","","5","","","","5","","33.843","","17.054","","23.223","","12.465","","12.689","12.917","","","7486c8171a92c0b428c8e18f6b1b83b98774c743-0-0dd4c653551ad9dcf8ffb57213f7a473f2debb15","7486c8171a92c0b428c8e18f6b1b83b98774c743","root","7486c8171a92c0b428c8e18f6b1b83b98774c743-e6dc1c7ce0f6a7bcfbc29b52a45a5d69aa423385"
"Army Active","5","55.354","","","5","55.354","","","8","16.425","9","53.494","9","25.874","4","13.001","","","","74cffc0ce02644026f75ccc740bc90717f6a9212-0-59556345ee58eaabe4aff91149803e1d62f649ee","74cffc0ce02644026f75ccc740bc90717f6a9212","root","74cffc0ce02644026f75ccc740bc90717f6a9212-972854905b1a605c48fc40757e34457127d22212"
"Army National Guard","","","","","","","","","9","13.456","8","18.851","8","20.751","7","16.45","","","","74cffc0ce02644026f75ccc740bc90717f6a9212-1-41a7dcf2c81292c47d8ba4e5113d8a7a060f6015","74cffc0ce02644026f75ccc740bc90717f6a9212","root","74cffc0ce02644026f75ccc740bc90717f6a9212-972854905b1a605c48fc40757e34457127d22212"
"Army Active","","5.296","","","","5.296","","4.826","","5.143","","5.613","","5.636","","5.733","6.8","","","75c03c6ee93e53e82ae31985f4cd02cd78f61f97-0-f1f4c36a21b7c666739eb71d1515d3df4b7eb19e","75c03c6ee93e53e82ae31985f4cd02cd78f61f97","root","75c03c6ee93e53e82ae31985f4cd02cd78f61f97-bb98137ac129b70601fd550868100bf399788a39"
"Navy Active","","74.907","","","","74.907","","111.408","","42.776","","81.04","","56.98","","48.573","52.935","","","78102e024c0b9d780d69e5dcbccc6a2b912fc9ae-0-6aee7808c146c009884de816ae91c8c9c565fed5","78102e024c0b9d780d69e5dcbccc6a2b912fc9ae","root","78102e024c0b9d780d69e5dcbccc6a2b912fc9ae-3e269f4f28c94b79b81ff4b9ec5d181e7d6d38c2"
"Navy Reserve","","1.072","","","","1.072","","","","","","","","0.832","","","1.072","","","78102e024c0b9d780d69e5dcbccc6a2b912fc9ae-1-304f3a31285f232df4ee9b9c377fc3d53f52369f","78102e024c0b9d780d69e5dcbccc6a2b912fc9ae","root","78102e024c0b9d780d69e5dcbccc6a2b912fc9ae-3e269f4f28c94b79b81ff4b9ec5d181e7d6d38c2"
"Army Active","","2.861","","","","2.861","","46.876","","10.341","","29.6","","26.273","","","","","","781247eb81adf30dfebbec4c31791b9f6955837b-0-c252b8c9686c567fd2bee3b8c2c82872eb6ed5f0","781247eb81adf30dfebbec4c31791b9f6955837b","root","781247eb81adf30dfebbec4c31791b9f6955837b-ba3d171962c30d13780ea4f5e2a0b202b280768a"
"Army National Guard","","1.908","","","","1.908","","","","","","19.733","","17.515","","","","","","781247eb81adf30dfebbec4c31791b9f6955837b-1-4e0ad987a407cef0889a6aa298d7103701cdc326","781247eb81adf30dfebbec4c31791b9f6955837b","root","781247eb81adf30dfebbec4c31791b9f6955837b-ba3d171962c30d13780ea4f5e2a0b202b280768a"
"Army Active","675","21.378","","","675","21.378","224","36.618","1481","35.917","1057","16.535","300","6.671","688","10.11","3.077","92","","78390f88a160bc2330890df642aab68121e29769-0-ed7cbc7267cfe87bb4d38bd7da4afb65ba908870","78390f88a160bc2330890df642aab68121e29769","root","78390f88a160bc2330890df642aab68121e29769-cd049924e0b2f261d1071c9b9ff4618e571b1f60"
"Army National Guard","193","1.245","","","193","1.245","64","0.289","741","5.985","302","1.878","86","0.559","197","1.202","0.191","26","","78390f88a160bc2330890df642aab68121e29769-1-97866277abe0a48a7ba6f00cfbb842a80ac2c4e3","78390f88a160bc2330890df642aab68121e29769","root","78390f88a160bc2330890df642aab68121e29769-cd049924e0b2f261d1071c9b9ff4618e571b1f60"
"Army Reserve","97","0.622","","","97","0.622","32","0.115","247","1.995","151","0.939","43","0.279","98","0.601","0.095","13","","78390f88a160bc2330890df642aab68121e29769-2-d67c22f717886855a4e9cb8eec822eee5914026a","78390f88a160bc2330890df642aab68121e29769","root","78390f88a160bc2330890df642aab68121e29769-cd049924e0b2f261d1071c9b9ff4618e571b1f60"
"Army Active","","256.438","","","","256.438","","68.665","","199.565","","216.037","","298.019","","279.949","356.278","","","7b4625fe320a2d0c09584933abe1b0537a7efbf9-0-8299f245937078242e31c01ccc2b83507b3f4bb5","7b4625fe320a2d0c09584933abe1b0537a7efbf9","root","7b4625fe320a2d0c09584933abe1b0537a7efbf9-2fd9ed29c3714f849c1dacca4e066ca49b9c9ae3"
"Army Active","1508","11.847","","","1508","11.847","763","51.263","1041","16.191","781","9.489","1740","27.552","977","21.545","25.174","1028","","7c134c29504a459ad9e1bb6063e6d8ff10c25f5a-0-4eda097da5e6623552408fb5217c96b6572b543f","7c134c29504a459ad9e1bb6063e6d8ff10c25f5a","root","7c134c29504a459ad9e1bb6063e6d8ff10c25f5a-f2b3917e9fc01dbc34e5f8069e9e33c8fba8da59"
"Army National Guard","1315","6.735","","","1315","6.735","234","6.67","273","5.61","787","6.551","747","8.668","279","3.212","6.685","385","","7c134c29504a459ad9e1bb6063e6d8ff10c25f5a-1-a74fc147a44b0dc0b94929e7ebda70b0e5c05c76","7c134c29504a459ad9e1bb6063e6d8ff10c25f5a","root","7c134c29504a459ad9e1bb6063e6d8ff10c25f5a-f2b3917e9fc01dbc34e5f8069e9e33c8fba8da59"
"Army Reserve","435","3.46","","","435","3.46","309","10.528","624","12.3","1431","23.472","91","1.513","449","7.312","6.101","348","","7c134c29504a459ad9e1bb6063e6d8ff10c25f5a-2-e2f10a865a818bdd33904754597c9cb8f45cfc30","7c134c29504a459ad9e1bb6063e6d8ff10c25f5a","root","7c134c29504a459ad9e1bb6063e6d8ff10c25f5a-f2b3917e9fc01dbc34e5f8069e9e33c8fba8da59"
"Army Active","9","1.35","","","9","1.35","","","","","55","2.592","61","2.912","42","2.051","0.74","15","","7c2d20e787f1e3fe51497f0244bd65d1e74dba79-0-bbfe24ef589d6b1b411e0769d3e02a1d52b997f4","7c2d20e787f1e3fe51497f0244bd65d1e74dba79","root","7c2d20e787f1e3fe51497f0244bd65d1e74dba79-b6a36c2b3d1182e775b67cc1c630b3bc5d80a467"
"Army National Guard","11","1.85","","","11","1.85","","","","","66","3.111","81","3.887","96","4.71","5.678","114","","7c2d20e787f1e3fe51497f0244bd65d1e74dba79-1-69b3969f4a5314278103c59fbe26eb7e6903d170","7c2d20e787f1e3fe51497f0244bd65d1e74dba79","root","7c2d20e787f1e3fe51497f0244bd65d1e74dba79-b6a36c2b3d1182e775b67cc1c630b3bc5d80a467"
"Army Reserve","5","0.8","","","5","0.8","","","","","51","2.376","70","3.36","68","3.315","3.66","73","","7c2d20e787f1e3fe51497f0244bd65d1e74dba79-2-025c06fab34f46cfe9656539d804646c6c774ef6","7c2d20e787f1e3fe51497f0244bd65d1e74dba79","root","7c2d20e787f1e3fe51497f0244bd65d1e74dba79-b6a36c2b3d1182e775b67cc1c630b3bc5d80a467"
"Air Force Active","","19.367","","","","19.367","","10.445","","45.785","","0.151","","0.101","","","","","394.666","7ecbf3d2c868347dd37a2c2c6f26b209c9e40a06-0-a1b4e83465ed4f8e2f4c368a31b9966a33475434","7ecbf3d2c868347dd37a2c2c6f26b209c9e40a06","root","7ecbf3d2c868347dd37a2c2c6f26b209c9e40a06-e8c5a1dc96ed8ab213391cb9cc7adb16e297a8b9"
"Air National Guard","","23.389","","","","23.389","","1.404","","26.528","","0.000","","0.000","","","","","167.399","7ecbf3d2c868347dd37a2c2c6f26b209c9e40a06-1-3d789046add376e29bac18c86ef6f8c5287c9606","7ecbf3d2c868347dd37a2c2c6f26b209c9e40a06","root","7ecbf3d2c868347dd37a2c2c6f26b209c9e40a06-e8c5a1dc96ed8ab213391cb9cc7adb16e297a8b9"
"Air Force Reserve","","4.842","","","","4.842","","0.679","","17.606","","0.000","","0.000","","","","","111.212","7ecbf3d2c868347dd37a2c2c6f26b209c9e40a06-2-2594c1cc8d0ba54e2df52531c781a3dbdc4d07cb","7ecbf3d2c868347dd37a2c2c6f26b209c9e40a06","root","7ecbf3d2c868347dd37a2c2c6f26b209c9e40a06-e8c5a1dc96ed8ab213391cb9cc7adb16e297a8b9"
"Army Active","2","0.294","","","2","0.294","","4.395","50","2.907","11","1.843","8","1.365","3","0.662","1.484","3","","8138864f8e53bcfd0fefcc68dcd7ee362dbc3249-0-a3eaf943246f52c47ca8a9101bbad759ad80ee24","8138864f8e53bcfd0fefcc68dcd7ee362dbc3249","root","8138864f8e53bcfd0fefcc68dcd7ee362dbc3249-5a7469f7b8157745be7ded3a7fe3b428fd2d75ea"
"Army National Guard","8","1.175","","","8","1.175","","","25","1.109","12","2.177","9","1.719","1","0.367","","","","8138864f8e53bcfd0fefcc68dcd7ee362dbc3249-1-b2ea1ecee629e6c60893ccdb01dd793fdde0483c","8138864f8e53bcfd0fefcc68dcd7ee362dbc3249","root","8138864f8e53bcfd0fefcc68dcd7ee362dbc3249-5a7469f7b8157745be7ded3a7fe3b428fd2d75ea"
"Army Reserve","1","0.146","","","1","0.146","","","14","1.293","12","1.505","9","1.252","2","0.417","","","","8138864f8e53bcfd0fefcc68dcd7ee362dbc3249-2-c9cc8c880d69abbed8110404295a7e2c5b98de16","8138864f8e53bcfd0fefcc68dcd7ee362dbc3249","root","8138864f8e53bcfd0fefcc68dcd7ee362dbc3249-5a7469f7b8157745be7ded3a7fe3b428fd2d75ea"
"Army Active","11","25.9","","","11","25.9","21","49.255","45","67.868","10","31.4","10","32.905","1","5.074","25.6","9","","820ce101f4b42bf3640dd151d69318263c9f77f6-0-69cbd6525de93a34aeb03f09da4ad6dd4041daea","820ce101f4b42bf3640dd151d69318263c9f77f6","root","820ce101f4b42bf3640dd151d69318263c9f77f6-c3ae75a05c26424da84a52873eed5a65044c74b0"
"Army National Guard","7","14.835","","","7","14.835","17","38.655","22","32.372","5","13.829","4","11.595","9","34.807","15.09","5","","820ce101f4b42bf3640dd151d69318263c9f77f6-1-7c6aba0303652ae6d7c7a9e15596f4be0e2b257b","820ce101f4b42bf3640dd151d69318263c9f77f6","root","820ce101f4b42bf3640dd151d69318263c9f77f6-c3ae75a05c26424da84a52873eed5a65044c74b0"
"Army Active","1058","51.543","","","1058","51.543","","","","0.506","1403","53.616","1612","53.63","1735","59.067","74.184","2350","","82bc68c0231faf38c4f9abbf8d59bc6a70e10b7a-0-be8e17e15980796708c01a582bfe093b9beba12c","82bc68c0231faf38c4f9abbf8d59bc6a70e10b7a","root","82bc68c0231faf38c4f9abbf8d59bc6a70e10b7a-79977c00621f64a3c25286981dbc71227ad34336"
"Army National Guard","366","17.604","","","366","17.604","","","","","460","17.592","528","17.566","543","12.533","13.6","431","","82bc68c0231faf38c4f9abbf8d59bc6a70e10b7a-1-e7581d69d6fa47abcedfe035404e7da2a722e37b","82bc68c0231faf38c4f9abbf8d59bc6a70e10b7a","root","82bc68c0231faf38c4f9abbf8d59bc6a70e10b7a-79977c00621f64a3c25286981dbc71227ad34336"
"Army Reserve","","","","","","","","","","","","","","","15","0.787","","","","82bc68c0231faf38c4f9abbf8d59bc6a70e10b7a-2-8b101f3d0d9ca67a7a99a14aa4cce6a79794f4db","82bc68c0231faf38c4f9abbf8d59bc6a70e10b7a","root","82bc68c0231faf38c4f9abbf8d59bc6a70e10b7a-79977c00621f64a3c25286981dbc71227ad34336"
"Navy Active","","13.348","","","","13.348","","11.924","","14.008","","16.89","","17.026","","17.283","17.593","","","852c07675c39eeddb4ece0211c0a98085bed1b7c-0-99c679a2c4766d8b597a23a14652d7dab73a68f2","852c07675c39eeddb4ece0211c0a98085bed1b7c","root","852c07675c39eeddb4ece0211c0a98085bed1b7c-97a53ab76f22149214f45efb563500fe835b08ed"
"Navy Reserve","","0.902","","","","0.902","","0.032","","1.196","","1.44","","1.395","","1.28","1.303","","","852c07675c39eeddb4ece0211c0a98085bed1b7c-1-c8aa34d1d51bae422d2d985c0daad9b8b1245af4","852c07675c39eeddb4ece0211c0a98085bed1b7c","root","852c07675c39eeddb4ece0211c0a98085bed1b7c-97a53ab76f22149214f45efb563500fe835b08ed"
"Air Force Active","","197.087","","","","197.087","","134.795","","193.099","","196.407","","262.762","","302.951","240.662","","609.756","85597cd913ea3d5ba176a2f874646a4ea8fb1587-0-f5cf08e4cab7d1746e1ca3562d1bdcef56943505","85597cd913ea3d5ba176a2f874646a4ea8fb1587","root","85597cd913ea3d5ba176a2f874646a4ea8fb1587-bc6d91bfb57ce0cc263cdf5409e305f03810d6d3"
"Army Active","10","163.526","","","10","163.526","14","227.66","9","193.935","5","77.563","9","124.156","15","217.831","22.5","","","855ac742f716c4b5725358982aacbe456319983f-0-5280a07213aef493e2a055f12e2c8610728488eb","855ac742f716c4b5725358982aacbe456319983f","root","855ac742f716c4b5725358982aacbe456319983f-e207f303c0956982af8ba02bcdeaf046431bd4f3"
"Army National Guard","9","149.201","","","9","149.201","8","110.517","6","105.059","19","270.61","12","155.195","4","62.237","","","","855ac742f716c4b5725358982aacbe456319983f-1-795740ad0a5c785aa91210f5a6e03f4d77b15c99","855ac742f716c4b5725358982aacbe456319983f","root","855ac742f716c4b5725358982aacbe456319983f-e207f303c0956982af8ba02bcdeaf046431bd4f3"
"Air Force Active","","28.743","","","","28.743","","61.023","","38.13","","40.35","","31.931","","28.656","26.522","","36.238","862e2d15d0f822c8485aa65674eee94dde4da08d-0-d22a2d4e339a914edd14f0d041e0efcb07723cc2","862e2d15d0f822c8485aa65674eee94dde4da08d","root","862e2d15d0f822c8485aa65674eee94dde4da08d-0e06e51e2ad21fc7b839c41a25cd94e230d60fb1"
"Air National Guard","","12.574","","","","12.574","","0.852","","6.229","","18.927","","19.743","","19.198","21.265","","0.419","862e2d15d0f822c8485aa65674eee94dde4da08d-1-cade791b5584143b723edf0492086a08a8eb21cf","862e2d15d0f822c8485aa65674eee94dde4da08d","root","862e2d15d0f822c8485aa65674eee94dde4da08d-0e06e51e2ad21fc7b839c41a25cd94e230d60fb1"
"Air Force Reserve","","5.239","","","","5.239","","0.335","","2.348","","7.968","","8.132","","7.134","8.191","","0.09","862e2d15d0f822c8485aa65674eee94dde4da08d-2-c7e56f3fbe76ff7edd9f5ecd3b2f15e59e2d123b","862e2d15d0f822c8485aa65674eee94dde4da08d","root","862e2d15d0f822c8485aa65674eee94dde4da08d-0e06e51e2ad21fc7b839c41a25cd94e230d60fb1"
"Army Active","40","13.261","","","40","13.261","50","17.484","13","1.577","39","13.112","50","17.78","26","9.876","10.188","25","","8659274b11dfcf5838908bb04c7852cdd71457c7-0-003328f103413da267aad6e26e39b22aab6e57fc","8659274b11dfcf5838908bb04c7852cdd71457c7","root","8659274b11dfcf5838908bb04c7852cdd71457c7-84461723fd75084e2ac7a3ccfa8ca15c3604c90d"
"Army National Guard","34","11.531","","","34","11.531","83","21.519","44","16.081","33","11.402","45","15.461","25","8.588","8.859","26","","8659274b11dfcf5838908bb04c7852cdd71457c7-1-9ef3d96ed43ff0122ad5b7203b472b06fa721d38","8659274b11dfcf5838908bb04c7852cdd71457c7","root","8659274b11dfcf5838908bb04c7852cdd71457c7-84461723fd75084e2ac7a3ccfa8ca15c3604c90d"
"Army Reserve","10","4.036","","","10","4.036","47","11.431","4","3.209","10","3.991","14","5.411","9","3.006","3.101","9","","8659274b11dfcf5838908bb04c7852cdd71457c7-2-8c602123d94c8bef09de2f7942d1356a0ebae6aa","8659274b11dfcf5838908bb04c7852cdd71457c7","root","8659274b11dfcf5838908bb04c7852cdd71457c7-84461723fd75084e2ac7a3ccfa8ca15c3604c90d"
"Army Active","","2.167","","","","2.167","","2.53","","2.556","","","","","","","","","","86c60e0c3947dfcc2bfc0e2fe562ec4541cf5122-0-92fe573c906dbef88afc7da90e05903ec09dcedd","86c60e0c3947dfcc2bfc0e2fe562ec4541cf5122","root","86c60e0c3947dfcc2bfc0e2fe562ec4541cf5122-56d2e9d6e2aae4db56e11442be4315d7f838ea9c"
"Army National Guard","","2.44","","","","2.44","","2.5","","2.475","","","","","","","","","","86c60e0c3947dfcc2bfc0e2fe562ec4541cf5122-1-58af93d86804cb0e95673b69a803454a398f9735","86c60e0c3947dfcc2bfc0e2fe562ec4541cf5122","root","86c60e0c3947dfcc2bfc0e2fe562ec4541cf5122-56d2e9d6e2aae4db56e11442be4315d7f838ea9c"
"Air Force Active","","11.166","","","","11.166","","42.959","","5.18","","18.296","","12.459","","26.425","208.046","","757.564","88ef9fb261b4a437cfe8137841c62a71c40c864d-0-94d4cd473b2416f71fdc5217ea711140b510d458","88ef9fb261b4a437cfe8137841c62a71c40c864d","root","88ef9fb261b4a437cfe8137841c62a71c40c864d-4803d1e654c969ad77434846ba5082d2663455aa"
"Air National Guard","","0.604","","","","0.604","","12.699","","1.677","","1.841","","1.684","","1.494","40.593","","254.028","88ef9fb261b4a437cfe8137841c62a71c40c864d-1-7d410f85b96774f1571a8b3bb21360c04dfbca83","88ef9fb261b4a437cfe8137841c62a71c40c864d","root","88ef9fb261b4a437cfe8137841c62a71c40c864d-4803d1e654c969ad77434846ba5082d2663455aa"
"Air Force Reserve","","0.024","","","","0.024","","1.088","","0.039","","","","","","","","","27.463","88ef9fb261b4a437cfe8137841c62a71c40c864d-2-27316fd2cf7a6ef2058099632a8a5ffb9e6ba1e8","88ef9fb261b4a437cfe8137841c62a71c40c864d","root","88ef9fb261b4a437cfe8137841c62a71c40c864d-4803d1e654c969ad77434846ba5082d2663455aa"
