"Name_val","Name_@footnote","WhenRequiredInMonths_val","QuantityPerAssembly_val","Cost_AllPriorYears_val","Cost_PriorYear_val","Cost_CurrentYear_val","Cost_BudgetYearOne_val","Cost_BudgetYearTwo_val","Cost_BudgetYearThree_val","Cost_BudgetYearFour_val","Cost_BudgetYearFive_val","Cost_ToComplete_val","Cost_Total_val","ManufacturerList_Manufacturer_Name_val","ManufacturerList_Manufacturer_Location_val","ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Engines/Eng ACC","","0","","390.351","74.697","64.214","101.255","116.283","114.88","109.498","111.32","3859.758","4942.256","Pratt & Whitney","East Hartford, CT","27","27","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-084ec6d2d9f931f7bd8a6983549f71c8f8e2ea65-0-5067584df0faabcead1feacc6ef521e02c5e8cf0","084ec6d2d9f931f7bd8a6983549f71c8f8e2ea65-0-76d710f67296859ac9fd26bd98e90125794eb676","084ec6d2d9f931f7bd8a6983549f71c8f8e2ea65","root.record.ItemExhibitList.P5Item","084ec6d2d9f931f7bd8a6983549f71c8f8e2ea65-0-93f13399b283e7a798ab97c95995a395a5b00457"
"GFE Electronics","","0","0","21.001","1.804","0","4.164","","","","","","","","","","","","20b10a74b043506ebbab9e1d83b2b4a221106b47-0-e09d927900e0125fd1e7a72e7dced8e177e255b6","20b10a74b043506ebbab9e1d83b2b4a221106b47","root.record.ItemExhibitList.P5Item","20b10a74b043506ebbab9e1d83b2b4a221106b47-0-ea3e070cedd710ef860ff2679985fe2b2a85a522"
"GFE Other","","0","0","2.163","0.084","0","0.287","","","","","","","","","","","","20b10a74b043506ebbab9e1d83b2b4a221106b47-1-a02fb0ad9f29a882715433aacd1a7524cdc69971","20b10a74b043506ebbab9e1d83b2b4a221106b47","root.record.ItemExhibitList.P5Item","20b10a74b043506ebbab9e1d83b2b4a221106b47-0-ea3e070cedd710ef860ff2679985fe2b2a85a522"
"Other Government Furnished Equipment: C-130J Defensive Systems","","12","","38","14","28","10","6","4","","","","100","Various","Various","12","12","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4bc32dd1001089379f4d1aba36ef6fbe8990c574-0-90982c2dfd285337f038d2f26853c27af9e23882","4bc32dd1001089379f4d1aba36ef6fbe8990c574-0-ab52f355fc574f940214df33c3d68e78a88ccad3","4bc32dd1001089379f4d1aba36ef6fbe8990c574","root.record.ItemExhibitList.P5Item","4bc32dd1001089379f4d1aba36ef6fbe8990c574-0-3b66589dc5b393cab05d93c51578ce72f553b5ef"
"GFE- Engines Termination Liability","","0","1","219.21","20.639","37.43","53.182","","","","","","","","","","","","93f1fb82a4e06d1e29fb3156a6d706e74dced921-0-6e04a73fe2867bf6da9836a940464822a065cde4","93f1fb82a4e06d1e29fb3156a6d706e74dced921","root.record.ItemExhibitList.P5Item","93f1fb82a4e06d1e29fb3156a6d706e74dced921-0-8f6909b756a2b631972e468ffac798eeca92129a"
"GFE - Engines T.L.","","0","2","264.666","","","","","","","","","","","","","","","b65411babcc2b39f15924aadc6fecc3770ef6b82-0-c3ec36aea2b25e9564430a1816d7bf55bbc57868","b65411babcc2b39f15924aadc6fecc3770ef6b82","root.record.ItemExhibitList.P5Item","b65411babcc2b39f15924aadc6fecc3770ef6b82-0-cfac9d894d14cb90d55462f510bf5cf7541d9ff8"
"GFE - Engines (Refurb)","","0","2","","6.24","","","","","","","","","","","","","","b65411babcc2b39f15924aadc6fecc3770ef6b82-1-bfde870384f3e3b00c3495aec426a646037a1fc6","b65411babcc2b39f15924aadc6fecc3770ef6b82","root.record.ItemExhibitList.P5Item","b65411babcc2b39f15924aadc6fecc3770ef6b82-0-cfac9d894d14cb90d55462f510bf5cf7541d9ff8"
"GFE - Cockpit","","0","1","288.113","","","","","","","","","","","","","","","b65411babcc2b39f15924aadc6fecc3770ef6b82-2-2920dc80a7b461163f8fa2ff3d0f9d647b41b0c1","b65411babcc2b39f15924aadc6fecc3770ef6b82","root.record.ItemExhibitList.P5Item","b65411babcc2b39f15924aadc6fecc3770ef6b82-0-cfac9d894d14cb90d55462f510bf5cf7541d9ff8"
"Cockpit for FY13 EOQ/Long Lead","","0","1","13.2","","","","","","","","","","","","","","","b65411babcc2b39f15924aadc6fecc3770ef6b82-3-aef7d45fbdb36ec79b95c70c7acc9920fd28f672","b65411babcc2b39f15924aadc6fecc3770ef6b82","root.record.ItemExhibitList.P5Item","b65411babcc2b39f15924aadc6fecc3770ef6b82-0-cfac9d894d14cb90d55462f510bf5cf7541d9ff8"
"Cockpit for FY14 EOQ/Long Lead","","0","1","15.425","","","","","","","","","","","","","","","b65411babcc2b39f15924aadc6fecc3770ef6b82-4-ca285e082147a2246f8cbc206abb24227da924a2","b65411babcc2b39f15924aadc6fecc3770ef6b82","root.record.ItemExhibitList.P5Item","b65411babcc2b39f15924aadc6fecc3770ef6b82-0-cfac9d894d14cb90d55462f510bf5cf7541d9ff8"
