"Name_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Reserve","","0.36","","","","","","","","","","","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-2-5218a05bdeffd1681b23b28c82d20fdfd8824c69","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","662ecfd7c8e7953a926545f6153c3d5094fdf462-4-8bd12f8b9d1a265b5b243e4fd1798b994712c587"
"Air Force Active","0.09","","","","","","","","","","","","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-b39cda50f907ef033ad1860186e44a00fa0f7bae","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","662ecfd7c8e7953a926545f6153c3d5094fdf462-5-469e4a34d88d4fdc2a1530b8a78bb79501627a56"
"Air Force Active","0.158","","","","","","","","","","","","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-a63096c9261488a88f5131a4e77da2020018cb0f","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","662ecfd7c8e7953a926545f6153c3d5094fdf462-6-95a3a7adbdfab047c3f39790a7bfaa4d078d3ec6"
"Air National Guard","1.72","0.000","","","","","","","","","","","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-1-de6aeb5187eebbd8b8d792b61cf902dec8ebefc4","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","662ecfd7c8e7953a926545f6153c3d5094fdf462-6-95a3a7adbdfab047c3f39790a7bfaa4d078d3ec6"
"Air Force Reserve","0.000","0.000","","","","","","","","","","","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-2-414bc96eab4193ca7af9690c969a21094ff29a00","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","662ecfd7c8e7953a926545f6153c3d5094fdf462-6-95a3a7adbdfab047c3f39790a7bfaa4d078d3ec6"
"Air Force Active","4.324","4.403","0.895","0.895","","","","","","","","","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-eb649d62df46761072bad113e47766583e8c2ac0","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","662ecfd7c8e7953a926545f6153c3d5094fdf462-7-60ff0d910a4d0e96c92ea6a2d8a6d963b8ccaeef"
"Air National Guard","6.339","1.28","0.605","0.605","","","","","","","","","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-1-13798d6592faad311eaa16d40980e9866c3d1783","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","662ecfd7c8e7953a926545f6153c3d5094fdf462-7-60ff0d910a4d0e96c92ea6a2d8a6d963b8ccaeef"
"Air Force Reserve","1.077","1.12","0.13","0.13","","","","","","","","","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-2-74636f6536b426d3d2e306d65442f5f7c1c1d777","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","662ecfd7c8e7953a926545f6153c3d5094fdf462-7-60ff0d910a4d0e96c92ea6a2d8a6d963b8ccaeef"
"Air Force Active","","0.637","0.84","0.84","","","","","","","","","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-94536fc12cfd52220c663f1a47972a45b24d5cb9","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","662ecfd7c8e7953a926545f6153c3d5094fdf462-8-b806e07c070dc13bbf406865f9851894296b8a79"
"Air National Guard","","0.408","0.249","0.249","","","","","","","","","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-1-ecb2eb538a4ec00ff46ff7a87422ce02e078d5fb","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","662ecfd7c8e7953a926545f6153c3d5094fdf462-8-b806e07c070dc13bbf406865f9851894296b8a79"
"Air Force Reserve","","0.431","","","","","","","","","","","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-2-3a8b7b0f4a16ae616aca22a0464a46f27166bc9a","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","662ecfd7c8e7953a926545f6153c3d5094fdf462-8-b806e07c070dc13bbf406865f9851894296b8a79"
"Air Force Active","","0.125","0.000","0.000","","","","","","","","","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-a13242c1fded26d4f0ff84a88bcc067199178323","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","662ecfd7c8e7953a926545f6153c3d5094fdf462-9-88adbf70f14f7e3d7d6d1607c27b2dc08c4123d5"
"Air Force Reserve","","","0.000","0.000","","","","","","","","","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-1-c325e621af66f2834c1575661b60bf3d5a58deb3","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","662ecfd7c8e7953a926545f6153c3d5094fdf462-9-88adbf70f14f7e3d7d6d1607c27b2dc08c4123d5"
"Air Force Active","","1.487","0.505","0.505","","","","","","","","","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-9e37e48abad57ddaa66c87abf51aca7722f45115","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","662ecfd7c8e7953a926545f6153c3d5094fdf462-10-eebf40afc7b76f3b9f17eb4ac1b5e8ffacbabc2a"
"Air National Guard","","0.285","0.437","0.437","","","","","","","","","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-1-29a8bb69c2cf6d9789e1a8595b045dec522df3f8","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","662ecfd7c8e7953a926545f6153c3d5094fdf462-10-eebf40afc7b76f3b9f17eb4ac1b5e8ffacbabc2a"
"Air Force Reserve","","0.209","0.295","0.295","","","","","","","","","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-2-f66d23ff2b7497c879691033d560abf401147c9c","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","662ecfd7c8e7953a926545f6153c3d5094fdf462-10-eebf40afc7b76f3b9f17eb4ac1b5e8ffacbabc2a"
"Air Force Active","","7","0.000","0.000","","","","","","","","","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-876d1fbb15b936da5ca998c3fc9da7caf0d5c191","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","662ecfd7c8e7953a926545f6153c3d5094fdf462-11-d00716538227e90e626cda3abf76bf637a0b94f8"
"Air Force Active","","15.7","","","","","","","","","","","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-c0df98150a5820d09a1d08666863d91c29d1aa1c","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","662ecfd7c8e7953a926545f6153c3d5094fdf462-12-d3b691ecc47ed6c30b70e875c364459a7227ac36"
"Air Force Active","0.001","0.001","1.674","1.674","","","","","","","","","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-6b9b3bb568b3ad02cdce1ab2375002f0e6ea4197","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","662ecfd7c8e7953a926545f6153c3d5094fdf462-13-81c2431dae017c38b7ddb4c41ecdbc80db2be2a6"
"Air Force Active","0.001","0.001","0.001","0.001","","","","","","","","","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-f81c57543b7117afdf8ff9e90336031d41ea160a","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","662ecfd7c8e7953a926545f6153c3d5094fdf462-14-144703150412c33c0ac59925ec1fc79aaa18a5c9"
