"Name_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","fb54e06467b731bf13ac60b5c589758d4131acbd-1-59aef5608d5b2ff5ca70c90b9dff523d07394c93","fb54e06467b731bf13ac60b5c589758d4131acbd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","fb54e06467b731bf13ac60b5c589758d4131acbd-0-c6c3bd766f742f2b686fe48ff31758de3df43447"
"Air Force Reserve","0","0.000","0","0.000","0","3.875","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","fb54e06467b731bf13ac60b5c589758d4131acbd-2-260e3be3a7b913f26fe3350d0d2cd4ca4baf4558","fb54e06467b731bf13ac60b5c589758d4131acbd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","fb54e06467b731bf13ac60b5c589758d4131acbd-0-c6c3bd766f742f2b686fe48ff31758de3df43447"
"Air Force Active","0","0.000","0","0.000","5","29.501","11","63.251","0","0.000","11","63.251","0","2.17","0","0.911","0","0.000","0","0.000","00d39061bb6cf1a3704c757ddeffe08ad768d434-0-ff429143d91bffe91e74689c3ef133c7f95e6b7f","00d39061bb6cf1a3704c757ddeffe08ad768d434","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","00d39061bb6cf1a3704c757ddeffe08ad768d434-0-5d2b0ddeab58e667f5c73bc6f48f168c32e7345a"
"Air Force Active","0","14.887","0","7.453","0","0.000","0","7","0","0.000","0","7","0","0.000","0","0.000","0","0.000","0","0.000","00d39061bb6cf1a3704c757ddeffe08ad768d434-0-d7e1d4f79e8a7bc54e140987a8b514f1b5659798","00d39061bb6cf1a3704c757ddeffe08ad768d434","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","00d39061bb6cf1a3704c757ddeffe08ad768d434-0-ea0d2429ea41d74d1f85a1dccffd8c4fd74d85a0"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","2.044","0","0.000","0","2.044","0","0.741","0","2.405","0","2.638","0","2.131","00d39061bb6cf1a3704c757ddeffe08ad768d434-0-cd7ca4ee77f069ce9db49850c2ca49cc9e0ee75c","00d39061bb6cf1a3704c757ddeffe08ad768d434","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","00d39061bb6cf1a3704c757ddeffe08ad768d434-0-c654218b6883cf585587aec92d0b5bbbcf5d37e6"
"Air Force Active","2","51.301","2","99.647","2","142.737","2","39.703","0","14","2","53.703","2","45.414","2","43.435","2","45.614","2","46.686","086f5258b19005be4593baa1c9cdf9eec7cd1cad-0-bc62886bc59c855d2e6237ff715eace6a87d79f1","086f5258b19005be4593baa1c9cdf9eec7cd1cad","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","086f5258b19005be4593baa1c9cdf9eec7cd1cad-0-3e617c2fe3f5db80b59d31fbbfe49e42d3aa85e9"
"Air Force Active","61","405.882","0","0.000","0","0.000","0","0.29","0","0.000","0","0.29","0","0.761","0","0.522","0","0.000","0","0.000","094b114b010621064be6b19ba691583e52d3c19b-0-5757254d38e47e5aace3e568c7ca50aa67fa83d8","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","094b114b010621064be6b19ba691583e52d3c19b-0-1e0cfd7672ed61f77e520f8a547ede9f74bd848c"
"Air National Guard","2","27.4","18","222.3","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","094b114b010621064be6b19ba691583e52d3c19b-1-9f39acbe4b1043f4b44dcd465719b8cb3fb2a283","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","094b114b010621064be6b19ba691583e52d3c19b-0-1e0cfd7672ed61f77e520f8a547ede9f74bd848c"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","094b114b010621064be6b19ba691583e52d3c19b-2-b36474b4de14e383f9666d52c9b6717d97c4a9cb","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","094b114b010621064be6b19ba691583e52d3c19b-0-1e0cfd7672ed61f77e520f8a547ede9f74bd848c"
"Air Force Active","68","114.002","32","31.772","23","37.667","0","8.158","0","0.000","0","8.158","0","3.302","0","3.744","0","3.097","0","0.38","094b114b010621064be6b19ba691583e52d3c19b-0-0083b5628de8e0b595208b6d6e5dfc5018b954a7","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","094b114b010621064be6b19ba691583e52d3c19b-0-12da7978731af108d28f32d8c9eba0afb082eb7d"
"Air National Guard","0","0.000","0","0.000","9","13.307","11","16.8","0","0.000","11","16.8","0","0.000","0","0.000","0","0.000","0","0.000","094b114b010621064be6b19ba691583e52d3c19b-1-e6fba47deb103beaa30a4ce7ad6c43e7f4e3627b","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","094b114b010621064be6b19ba691583e52d3c19b-0-12da7978731af108d28f32d8c9eba0afb082eb7d"
"Air Force Active","158","352.709","797","23.037","619","19.778","216","54.512","0","0.000","216","54.512","274","60.542","336","54.264","203","37.455","158","80.776","094b114b010621064be6b19ba691583e52d3c19b-0-360b4cbb87b044f9c5097f3ea928aa508d0f2107","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","094b114b010621064be6b19ba691583e52d3c19b-0-1e1c99419a253139dcae862b6a4c8e7e0f3178bd"
"Air National Guard","20","11.892","99","2.862","77","2.461","27","6.452","0","0.000","27","6.452","34","6.646","42","5.844","25","4.249","20","9.797","094b114b010621064be6b19ba691583e52d3c19b-1-8cfa8f4bed5c6ac93d7a668a39588d27f7bf0415","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","094b114b010621064be6b19ba691583e52d3c19b-0-1e1c99419a253139dcae862b6a4c8e7e0f3178bd"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","094b114b010621064be6b19ba691583e52d3c19b-2-509759f48ca05df7febe9d8c0e67712acb2fd7d1","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","094b114b010621064be6b19ba691583e52d3c19b-0-1e1c99419a253139dcae862b6a4c8e7e0f3178bd"
"Air Force Active","476","8.664","870","16.375","1037","10.974","1313","30.35","0","0.000","1313","30.35","1237","62.194","991","63.151","815","60.302","686","65.297","094b114b010621064be6b19ba691583e52d3c19b-0-eedf935d1bf4a146cf1709e01a031baa88d8dee9","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","094b114b010621064be6b19ba691583e52d3c19b-0-7f97e6b42ae7165d6b218d1c8817e4568994df12"
"Air National Guard","0","0.000","76","1.405","90","1.312","114","2.068","0","0.000","114","2.068","108","4.171","86","4.111","71","3.843","60","4.354","094b114b010621064be6b19ba691583e52d3c19b-1-807384aa90730be077fe24e1a326d0492ae7e178","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","094b114b010621064be6b19ba691583e52d3c19b-0-7f97e6b42ae7165d6b218d1c8817e4568994df12"
"Air Force Active","0","0.000","0","0.000","0","0.000","58","2.604","0","0.000","58","2.604","100","4.554","0","0.000","0","0.000","0","0.000","094b114b010621064be6b19ba691583e52d3c19b-0-94128c5cea108de9b7a56a799de6d6aa18b5f853","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","094b114b010621064be6b19ba691583e52d3c19b-0-8dab0077a0c200e80f5feb2101ae6c6983fa2d6d"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","20","0.878","0","0.000","0","0.000","0","0.000","094b114b010621064be6b19ba691583e52d3c19b-1-b5e4daead35588f209cc37ee57c4644ae1187308","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","094b114b010621064be6b19ba691583e52d3c19b-0-8dab0077a0c200e80f5feb2101ae6c6983fa2d6d"
"Air Force Active","24","16.559","29","11.598","33","6.748","30","9.186","0","0.000","30","9.186","23","9.582","15","6.25","4","2.148","4","1.335","094b114b010621064be6b19ba691583e52d3c19b-0-e8ce6562102521c9972d9be58208225a1b30cfab","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","094b114b010621064be6b19ba691583e52d3c19b-0-f63513976445fd0821cb1547610eb92435081822"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","094b114b010621064be6b19ba691583e52d3c19b-1-910e69b9371b5eeb59a34625cdf0a4d924a4ef71","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","094b114b010621064be6b19ba691583e52d3c19b-0-f63513976445fd0821cb1547610eb92435081822"
"Air Force Active","18","4.6","14","2.183","0","0.000","30","23.967","0","0.000","30","23.967","25","18.735","14","6.6","14","1.001","14","0.203","094b114b010621064be6b19ba691583e52d3c19b-0-1eeac2c15aea4d143c9dfd4e93f2c9ffb9eb455f","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","094b114b010621064be6b19ba691583e52d3c19b-0-6c7c6d511e28df448f97a67db306f0429b0ce111"
"Air Force Active","0","0.000","0","0.000","77","8.674","94","10.543","0","0.000","94","10.543","94","10.875","94","11.247","25","3.147","0","0.000","1a0d86d16fb7c4fd2ff7b41ec7fcb180b0859473-0-7218f69b25cb42072a6a2a38547664aacdf60fb0","1a0d86d16fb7c4fd2ff7b41ec7fcb180b0859473","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1a0d86d16fb7c4fd2ff7b41ec7fcb180b0859473-0-0764b9be9797cd64cb661cbd0f3c84368af937f4"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","1a0d86d16fb7c4fd2ff7b41ec7fcb180b0859473-1-1a37425a517b5746dd180e3e7ec41a4fc83d8e91","1a0d86d16fb7c4fd2ff7b41ec7fcb180b0859473","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1a0d86d16fb7c4fd2ff7b41ec7fcb180b0859473-0-0764b9be9797cd64cb661cbd0f3c84368af937f4"
"Air Force Active","30","15.701","0","0.000","15","9.899","29","19.9","0","0.000","29","19.9","29","20.743","6","5.336","0","1.049","0","1.091","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-b890c736dda30064007d1aedce5192c2a6af3516","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-1cc6101f63447a45feb47b2d3939c1b0087a2d7e"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","13","9.377","0","0.000","0","0.000","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-1-760944b9f170cd6932fb440d74ba81f3fc48059d","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-1cc6101f63447a45feb47b2d3939c1b0087a2d7e"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","8","5.771","0","0.000","0","0.000","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-2-a61db405be1be4ec6d6dea390761a2f0d85add0b","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-1cc6101f63447a45feb47b2d3939c1b0087a2d7e"
"Air Force Active","0","0.095","0","0.000","0","0.000","0","11.697","0","0.000","0","11.697","0","0.000","0","0.000","0","0.000","0","0.000","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-b1c2e4e45d41509a2032302d1fba6f23c1cd0f47","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-70ec1fa4b17891b9e8f623af1387fa6e1b8cce37"
"Air Force Active","587","251.978","224","100.616","27","25.509","48","28.437","0","0.000","48","28.437","0","0.857","0","0.000","0","0.000","0","0.000","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-11c718dae03b63b37240e884a50231750ccefef1","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-28b9e5b21e2196af24149491dcbb3a7e026d2600"
"Air National Guard","40","13.515","1","0.187","55","27.918","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-1-f39537395b602b701bed8aac16ef752bcfe5adce","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-28b9e5b21e2196af24149491dcbb3a7e026d2600"
"Air Force Reserve","43","13.994","0","0.000","21","7.889","24","9.576","0","0.000","24","9.576","0","0.000","0","0.000","0","0.000","0","0.000","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-2-88f5eaa529da6454baf8ef2eac20afdb5aae3c2d","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-28b9e5b21e2196af24149491dcbb3a7e026d2600"
"Air Force Active","0","0.000","0","0.000","10","3.009","30","4.95","0","0.000","30","4.95","33","11.452","33","15.098","33","17.348","33","19.183","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-64a83ed8784025e8f3412b76a825009b1d4937f5","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-28613d58c401987b44ad59457fb51d4196a88444"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-1-aff3214ca053174b4f5c55074d2df312b2b0c8de","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-28613d58c401987b44ad59457fb51d4196a88444"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-2-87f278e713468878820e1712320a327fca751088","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-28613d58c401987b44ad59457fb51d4196a88444"
"Air Force Active","10","41.228","0","0.21","2","5.108","2","5.312","0","0.000","2","5.312","2","5.524","4","10.974","8","21.803","8","22.675","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-cef0fd37c2659fdf295727ca0b6e334570c217f7","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-c67e4d3ada763e5e2a53208ef9f7a906bdd70339"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-1-29c3ee4bbfd8e538748f73880f19d3b2eda9504b","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-c67e4d3ada763e5e2a53208ef9f7a906bdd70339"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-2-ef5da1756893fa8fd85199c1d89a8a51c6d5cc3d","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-c67e4d3ada763e5e2a53208ef9f7a906bdd70339"
"Air Force Active","8","99.039","0","1.206","2","51.187","2","14.174","0","0.000","2","14.174","2","14.564","4","37.922","8","63.197","8","50.699","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-720e2fb83adbceee8471400baf966cc06cea1708","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-cd333e62b0345a7f2fcdc6496eae4d9a897c72d0"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-1-3f061b76b11be9b725059e1f9e14b4916a459827","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-cd333e62b0345a7f2fcdc6496eae4d9a897c72d0"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-2-833ebd20da50f484256c610b7754ae42fa89d695","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-cd333e62b0345a7f2fcdc6496eae4d9a897c72d0"
"Air Force Active","0","0.000","1","1.693","9","4.06","9","3.862","0","0.000","9","3.862","20","5.157","6","1.465","21","6.227","0","2.6","21b292cf6c6abee07374aa359f4f727f23b5accd-0-3677b533f09f3263ee677409ec3d650bd58471b8","21b292cf6c6abee07374aa359f4f727f23b5accd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","21b292cf6c6abee07374aa359f4f727f23b5accd-0-8db25c26717b68c7b15be22e4183136f2eed378f"
"Air National Guard","0","0.000","0","0.000","8","1.64","9","1.955","0","0.000","9","1.955","0","0.000","0","0.000","0","0.000","0","0.000","21b292cf6c6abee07374aa359f4f727f23b5accd-1-3e92486c30dd1fb3956df3f4378fa60397b085b3","21b292cf6c6abee07374aa359f4f727f23b5accd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","21b292cf6c6abee07374aa359f4f727f23b5accd-0-8db25c26717b68c7b15be22e4183136f2eed378f"
"Air Force Reserve","0","0.000","0","0.000","8","1.64","7","1.52","0","0.000","7","1.52","0","0.000","0","0.000","0","0.000","0","0.000","21b292cf6c6abee07374aa359f4f727f23b5accd-2-4c163388bc0864fba2b6c6df07f22a0a24ecc2d9","21b292cf6c6abee07374aa359f4f727f23b5accd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","21b292cf6c6abee07374aa359f4f727f23b5accd-0-8db25c26717b68c7b15be22e4183136f2eed378f"
"Air Force Active","0","0.000","0","0.000","28","14.591","6","3.245","0","0.000","6","3.245","10","3.848","10","3.726","8","2.749","5","1.75","21b292cf6c6abee07374aa359f4f727f23b5accd-0-740cf6cb73649c019ff2c4fa3f6f3006c4960ede","21b292cf6c6abee07374aa359f4f727f23b5accd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","21b292cf6c6abee07374aa359f4f727f23b5accd-0-6841c4fcb0b6f7375b7ca3bb4ef9c4e00e9be447"
"Air National Guard","0","0.000","0","0.000","0","0.000","5","1.643","0","0.000","5","1.643","5","1.643","7","2.3","0","0.000","0","0.000","21b292cf6c6abee07374aa359f4f727f23b5accd-1-e90722252037a75aa64d73f1f406dd2d91c0f149","21b292cf6c6abee07374aa359f4f727f23b5accd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","21b292cf6c6abee07374aa359f4f727f23b5accd-0-6841c4fcb0b6f7375b7ca3bb4ef9c4e00e9be447"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","5","1.643","0","0.000","5","1.643","5","1.643","5","1.643","0","0.000","0","0.000","21b292cf6c6abee07374aa359f4f727f23b5accd-2-7f976cac22a39998681f44adfc8aa0c71e2a9ccd","21b292cf6c6abee07374aa359f4f727f23b5accd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","21b292cf6c6abee07374aa359f4f727f23b5accd-0-6841c4fcb0b6f7375b7ca3bb4ef9c4e00e9be447"
"Air Force Active","0","0.000","4","2.739","35","6.059","92","15.489","0","0.000","92","15.489","117","36.6","139","95.119","134","62.178","93","64.534","243848b289cde74724b57b7a20a2699c5b50464b-0-4b1c8fd020768a40fd6823dab46cc89ae79a464a","243848b289cde74724b57b7a20a2699c5b50464b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","243848b289cde74724b57b7a20a2699c5b50464b-0-bf2068745933cd97a590bbdf0bae7944482a223b"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","243848b289cde74724b57b7a20a2699c5b50464b-1-5fa6ffd4bf18e0ce3fb38b4bc8c35094b74f8d8f","243848b289cde74724b57b7a20a2699c5b50464b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","243848b289cde74724b57b7a20a2699c5b50464b-0-bf2068745933cd97a590bbdf0bae7944482a223b"
"Air Force Active","3","114.975","3","127.394","0","56.008","5","120.802","0","0.000","5","120.802","4","120.92","4","122.174","5","157.942","5","158.394","3ce282e558f99cd96fb2d79f9ab53ea718c88100-0-f0d9b44d3208b74541435bb43afa35ad885f24ac","3ce282e558f99cd96fb2d79f9ab53ea718c88100","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3ce282e558f99cd96fb2d79f9ab53ea718c88100-0-696d151c130b2ace2316441ec256a3d970bc2e97"
"Air Force Active","0","0.000","0","6.921","4","23.89","7","23.184","0","0.000","7","23.184","8","26.566","1","3.764","0","0.000","0","0.000","3ce282e558f99cd96fb2d79f9ab53ea718c88100-0-6203b3c41525e3878492f99da796aa12b67b90f7","3ce282e558f99cd96fb2d79f9ab53ea718c88100","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3ce282e558f99cd96fb2d79f9ab53ea718c88100-0-b9f87a4f24e25f7be48d27fc9f5956431a9181ad"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","3ce282e558f99cd96fb2d79f9ab53ea718c88100-1-5ef20ea3c4203219d870fb782976d8e8ef22c161","3ce282e558f99cd96fb2d79f9ab53ea718c88100","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3ce282e558f99cd96fb2d79f9ab53ea718c88100-0-b9f87a4f24e25f7be48d27fc9f5956431a9181ad"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","3ce282e558f99cd96fb2d79f9ab53ea718c88100-2-a68361f63ad4e2ba08661f4ec7f67afce60caff9","3ce282e558f99cd96fb2d79f9ab53ea718c88100","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3ce282e558f99cd96fb2d79f9ab53ea718c88100-0-b9f87a4f24e25f7be48d27fc9f5956431a9181ad"
"Air Force Active","0","0.000","0","0.000","0","0.000","3","7.495","0","0.000","3","7.495","2","5.307","3","7.375","3","7.937","3","6.452","3ce282e558f99cd96fb2d79f9ab53ea718c88100-0-ccedaf57c4bcaec6e528ad6e18193ea4a7a881d7","3ce282e558f99cd96fb2d79f9ab53ea718c88100","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3ce282e558f99cd96fb2d79f9ab53ea718c88100-0-810251458f067f637a97d22456d09a92a021fceb"
"Air Force Active","0","0.000","14","6.171","14","6.155","14","6.284","0","0.000","14","6.284","0","0.000","0","0.000","0","0.000","0","0.000","40fd9fc6c2ac48cf939a246b71e8f0ee9f461d97-0-49bb32dc2abe75d5a3bca20a71ab0d2ce5d5afb1","40fd9fc6c2ac48cf939a246b71e8f0ee9f461d97","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","40fd9fc6c2ac48cf939a246b71e8f0ee9f461d97-0-075a1e6f316c810bbeefc123fa7f977de43e4d83"
"Air Force Active","0","0.000","0","0.000","0","0.000","1","3.5","0","0.000","1","3.5","1","4.438","1","3.665","1","4.599","1","3.35","40fd9fc6c2ac48cf939a246b71e8f0ee9f461d97-0-db9e8d7a7e08db20123957a0eeb05978d0a4d1cb","40fd9fc6c2ac48cf939a246b71e8f0ee9f461d97","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","40fd9fc6c2ac48cf939a246b71e8f0ee9f461d97-0-2f037b0deb8a4e340c2a00817b11f8f4253d2535"
