"BudgetActivityNumber_val","BudgetActivityTitle_val","EndItemList_EndItem","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"3","Trainer Aircraft","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-47c4397623c6acdbd34f3607efc1bcc78e2212cf-1-783365dd68fc83cca933da6cc216fd8659899d64","47c4397623c6acdbd34f3607efc1bcc78e2212cf-1-ecb8b267f43db89c14b474984b4b1f579d31c9bd","47c4397623c6acdbd34f3607efc1bcc78e2212cf","root","47c4397623c6acdbd34f3607efc1bcc78e2212cf-2258b49bf0db5b980aafa853495b39d0bb683f24"
"4","Other Aircraft","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-47c4397623c6acdbd34f3607efc1bcc78e2212cf-2-d773b2cbb95caa35fccf3c24a1f97c273f370e87","47c4397623c6acdbd34f3607efc1bcc78e2212cf-2-00c5a05d35da1807ced293a3c7d42946320e5a3a","47c4397623c6acdbd34f3607efc1bcc78e2212cf","root","47c4397623c6acdbd34f3607efc1bcc78e2212cf-2258b49bf0db5b980aafa853495b39d0bb683f24"
"5","Modification of Aircraft","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-47c4397623c6acdbd34f3607efc1bcc78e2212cf-3-a56e4184afcf19b34b0bd7bcb5eaf8a0b908f477","47c4397623c6acdbd34f3607efc1bcc78e2212cf-3-fd3ff50702d3867c09681167f93687a4c2bff058","47c4397623c6acdbd34f3607efc1bcc78e2212cf","root","47c4397623c6acdbd34f3607efc1bcc78e2212cf-2258b49bf0db5b980aafa853495b39d0bb683f24"
"7","Aircraft Support Equip & Facilities","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-47c4397623c6acdbd34f3607efc1bcc78e2212cf-4-886e5b70895a842366af69a0e60ae2e664be2a26","47c4397623c6acdbd34f3607efc1bcc78e2212cf-4-fc7d56de0ebdcb1a026d0da16c9724f0eba84acc","47c4397623c6acdbd34f3607efc1bcc78e2212cf","root","47c4397623c6acdbd34f3607efc1bcc78e2212cf-2258b49bf0db5b980aafa853495b39d0bb683f24"
"2","Special Operations Command","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-49f6579fd73f9b4f6f1dbac2248abf26c01091f7-0-bcb60b99cee08ca7759cf5c0f5ade1b81256f1d2","49f6579fd73f9b4f6f1dbac2248abf26c01091f7-0-df3d64f725a89f219879a870ee507a8a9ffa1d88","49f6579fd73f9b4f6f1dbac2248abf26c01091f7","root","49f6579fd73f9b4f6f1dbac2248abf26c01091f7-ece6b89ed3c5c041668caf96a8d32b39653bd19d"
"5","Spares and Repair Parts","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-4d12c985b7fdb2d0bf662f41260d0003d0acf10f-0-13f840889a5029cfac98a12a9e411783a85e8c44","4d12c985b7fdb2d0bf662f41260d0003d0acf10f-0-a3565e574767263348c8dabe7421ba1a2d3710ce","4d12c985b7fdb2d0bf662f41260d0003d0acf10f","root","4d12c985b7fdb2d0bf662f41260d0003d0acf10f-ed0fad1f3566dfd816ccbaa37ff960ca176c484c"
"2","Special Operations Command","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-5c7505ddf306aba18530c890abd160b7d6e92353-0-ec54cff1e79c9b11e580bda4482848dcf603c320","5c7505ddf306aba18530c890abd160b7d6e92353-0-81c4939004a97f5f549fbeb29ade361ccf9a4d33","5c7505ddf306aba18530c890abd160b7d6e92353","root","5c7505ddf306aba18530c890abd160b7d6e92353-9cd01f1c4adcf77eb73cd5737245c967794d77d8"
"2","Special Operations Command","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-63280489ac978b2f311880c8e8237e31824e395c-0-76d00341777b60f12c5cae226b27ddce698fb369","63280489ac978b2f311880c8e8237e31824e395c-0-b8570fb7da7a1f82327ef56c4f884ed7e5a2418d","63280489ac978b2f311880c8e8237e31824e395c","root","63280489ac978b2f311880c8e8237e31824e395c-2e0cbc0948bb378fabbcfe3cef7aebbf4a4a8304"
"2","Special Operations Command","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-64f8d695cca06131d9a086cbd05b925a2740767d-0-a726ea2f2798bd7bda203159dbd957d02ef827d9","64f8d695cca06131d9a086cbd05b925a2740767d-0-6f52d210f37b5221c4007198f50e55a1f5194485","64f8d695cca06131d9a086cbd05b925a2740767d","root","64f8d695cca06131d9a086cbd05b925a2740767d-0af237b0e1b1abe7191d31c1fe280a64f202c4e2"
"2","Special Operations Command","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-799f3b379de1ebfd12a2a8238bb5842d48738bd1-0-19af9ca6660946b8451f1fa2e3cecc71d87d7b38","799f3b379de1ebfd12a2a8238bb5842d48738bd1-0-784bac50df76234a4c80eb6ff3dcec494be68bf8","799f3b379de1ebfd12a2a8238bb5842d48738bd1","root","799f3b379de1ebfd12a2a8238bb5842d48738bd1-08897b6790d29929e20169b43b1b047d8ba21f8a"
