"val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"0207134F","4c39cbe51415af7429d290b3dacf74a30465f591-1-197a37b7e25e368964bc31ee8d6e7bf0eb0cfc67","4c39cbe51415af7429d290b3dacf74a30465f591","root","4c39cbe51415af7429d290b3dacf74a30465f591-1fd64802e66ac53865ca84ff810ab019667213c2"
"0207445F","4c39cbe51415af7429d290b3dacf74a30465f591-2-333c546d4411ff548b3501d0764cd8e36d89d14e","4c39cbe51415af7429d290b3dacf74a30465f591","root","4c39cbe51415af7429d290b3dacf74a30465f591-1fd64802e66ac53865ca84ff810ab019667213c2"
"0809731F","4c39cbe51415af7429d290b3dacf74a30465f591-3-a1daf909536ffb6b7a1f695058442c2e478f056b","4c39cbe51415af7429d290b3dacf74a30465f591","root","4c39cbe51415af7429d290b3dacf74a30465f591-1fd64802e66ac53865ca84ff810ab019667213c2"
"0305165F","4e26276057f36ad72a39fd87f67352656483df9d-0-4862853d55a2bc5b77780df48769c9dfd47943e2","4e26276057f36ad72a39fd87f67352656483df9d","root","4e26276057f36ad72a39fd87f67352656483df9d-d0811291c338fbfe3a5b14a007d2e0d674730714"
"0305940F","4e26276057f36ad72a39fd87f67352656483df9d-1-c68d317580791d10aca923b7f00d03499771dd69","4e26276057f36ad72a39fd87f67352656483df9d","root","4e26276057f36ad72a39fd87f67352656483df9d-d0811291c338fbfe3a5b14a007d2e0d674730714"
"0203740A","4f2357d78bb32e088a51b52d66f52cba84dfa327-0-ba59b0c1194e6f81060d18024d4bfd6618c7d5d2","4f2357d78bb32e088a51b52d66f52cba84dfa327","root","4f2357d78bb32e088a51b52d66f52cba84dfa327-b1a08675a21cf0c2188e296cc5a6c8bc574e6bd9"
"0708017N","505a7c5224a75d03f0ca7f1c10556248f7ce45d5-0-aa66daf588f80509921f6cd160db03dc8915f672","505a7c5224a75d03f0ca7f1c10556248f7ce45d5","root","505a7c5224a75d03f0ca7f1c10556248f7ce45d5-19009050f61dd057c1976414bd5e4f0d24fb16e7"
"0207448F","51c062eaccf485d9c32d860270b70072927ce598-0-dbca1b994249c782cb5e3d8d7432451a121a176e","51c062eaccf485d9c32d860270b70072927ce598","root","51c062eaccf485d9c32d860270b70072927ce598-d951dc03459999265246e77f0c0233d32863cad2"
"0204136N","5494f2c404acc06348006f1edbbd906ffaa866b5-0-91c222c39b70268e178d512db924521b14621b63","5494f2c404acc06348006f1edbbd906ffaa866b5","root","5494f2c404acc06348006f1edbbd906ffaa866b5-0370b555743be1d8c0e738eb8c896de33258ceaa"
"0401119F","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-0-a69da14e4067cc80072c100bf178d978187f9ae7","58dffbdaecf7fab4d12e5aabbdad930b930d60b9","root","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-b25d7823cf07cd5d15d29ad9cf8f2471816c5588"
"0303170K","594e125787aaf7a8911c6d230ec52e527701e554-0-49702a89b8e76ac6572c2b41885adccc52f53694","594e125787aaf7a8911c6d230ec52e527701e554","root","594e125787aaf7a8911c6d230ec52e527701e554-0337df4387eb77ac0e819ede5313bdd22036fc25"
"0605500N","5c53766253032ebe940da7fe2e9719bfbad8ca56-0-b66f8d8ed88e4c7c1eacddd747c867d379210c9d","5c53766253032ebe940da7fe2e9719bfbad8ca56","root","5c53766253032ebe940da7fe2e9719bfbad8ca56-8802e3a19bf5a9cd2e5121e595dc0d60fd79d76b"
"0101213F","6285ef83e6275905a019f8f2cac679326cd16eb9-0-c7fd12ef63e087968d84fe570c3336f35250eab8","6285ef83e6275905a019f8f2cac679326cd16eb9","root","6285ef83e6275905a019f8f2cac679326cd16eb9-5df92eb9097ae3b43512a0619f6ffb0f07d95c6a"
"0604851F","6285ef83e6275905a019f8f2cac679326cd16eb9-1-9058b8bfc61809e9fa2aa64f9d368579cfce9864","6285ef83e6275905a019f8f2cac679326cd16eb9","root","6285ef83e6275905a019f8f2cac679326cd16eb9-5df92eb9097ae3b43512a0619f6ffb0f07d95c6a"
"0604933F","6285ef83e6275905a019f8f2cac679326cd16eb9-2-e58acbbdd2d4fa7f6abdf58310484ae2e3029da2","6285ef83e6275905a019f8f2cac679326cd16eb9","root","6285ef83e6275905a019f8f2cac679326cd16eb9-5df92eb9097ae3b43512a0619f6ffb0f07d95c6a"
