"Title_val","Funding_PriorYear_val","Funding_CurrentYear_val","Funding_BudgetYearOne_val","Funding_BudgetYearOneBase_val","Funding_BudgetYearOneOCO_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Program Adjustments","0.000","0.000","-11.239","-11.239","","0dd8de1a8ce8ad4b6f4cc1b794e627f452e879b4-0-e9f9c34df7c426f456a13474cf43e12988d32ea6","0dd8de1a8ce8ad4b6f4cc1b794e627f452e879b4","root","0dd8de1a8ce8ad4b6f4cc1b794e627f452e879b4-b29bae3edbac9231778437dfd2ed263de49dfa60"
"Rate/Misc Adjustments","0.000","0.000","-6.504","-6.504","","0dd8de1a8ce8ad4b6f4cc1b794e627f452e879b4-1-9007079b15b3a8d8ae58fedc2223e151cf9756dd","0dd8de1a8ce8ad4b6f4cc1b794e627f452e879b4","root","0dd8de1a8ce8ad4b6f4cc1b794e627f452e879b4-b29bae3edbac9231778437dfd2ed263de49dfa60"
"Other Adjustment","0.000","0.000","2.139","2.139","","0e0758ceb810caddf675a8afd0851673d21e57e3-0-f5ac52617a24e941e25ab0b8b376be3f85605f4e","0e0758ceb810caddf675a8afd0851673d21e57e3","root","0e0758ceb810caddf675a8afd0851673d21e57e3-f1930f5aba5d3fa3cfbd31769b7ce0ad85e769c8"
"Adjustments to Budget Years","","","5.599","5.599","","0eb81b916280492225b95a9c62eac626006f9a5d-0-d8c12fe9960fc548f81edda52fcc5e2f1296b1d5","0eb81b916280492225b95a9c62eac626006f9a5d","root","0eb81b916280492225b95a9c62eac626006f9a5d-bbcb3c923065ff1d292618dea8be33d9858d0402"
"TotalOtherAdjustments","","","-15.281","-15.281","","0fbdfd0967ce8758578406eb65086e915c34cbf3-0-4963b67248013beca33254a3b70eaf67a8ed65e8","0fbdfd0967ce8758578406eb65086e915c34cbf3","root","0fbdfd0967ce8758578406eb65086e915c34cbf3-50ce20d048fc796a0cd0c7d2d12defa0a4c040a8"
"Other Adjustments","0.000","0.000","0.000","0.000","","0fdf476b53bd96c822c74dff99e6a97a583a6119-0-a13ab5c99669227f026ba2b813ed29667599032a","0fdf476b53bd96c822c74dff99e6a97a583a6119","root","0fdf476b53bd96c822c74dff99e6a97a583a6119-cfe7b4e18be036a58e4aeeb647156838e39b6f8a"
"Other Adjustments","0.000","0.011","-1.360","-1.360","","1015de542485dc5293362903548e49e292b4076b-0-65e88f59ee2bdef2257d94c249c791feadb11c65","1015de542485dc5293362903548e49e292b4076b","root","1015de542485dc5293362903548e49e292b4076b-ebb0138a49781a508c01aebaa9f012dcd78ea495"
"Other Adjustments","0.000","0.000","7.148","7.148","","10f5d725be8b4ad302b771f53482cf0ed06f38fd-0-022d1f4696f00bf032ede066b0041676720e891b","10f5d725be8b4ad302b771f53482cf0ed06f38fd","root","10f5d725be8b4ad302b771f53482cf0ed06f38fd-b2de1f61b57e10f9a797210b89947ca2ed3921da"
"Other adjustments.","","","-3.089","-3.089","","1111c76a2cbc22d6747f79b4e4f902330e8e051b-0-4fde1314827d397dcb0afae722ee8564a5049152","1111c76a2cbc22d6747f79b4e4f902330e8e051b","root","1111c76a2cbc22d6747f79b4e4f902330e8e051b-422c7f6112691967acda49d21569289206c20461"
"Other Adjustment","","","-0.036","-0.036","","114dfe2bc8a41345f2f5b88e90d808795b6d5b57-0-18b3da9d575e30438c4119ea076614b60a354907","114dfe2bc8a41345f2f5b88e90d808795b6d5b57","root","114dfe2bc8a41345f2f5b88e90d808795b6d5b57-c390e13f7eea18342754f89e5b7eabd12a74f1e0"
